sample_id,project_id,condition_id,rep,baseline,gene_change,change_type
dox2__dox__1,dox2,dox,1,,b1530|b3480|b3481|b3482|b3483|b3485|b3486|b3487|b3488|b3491|b3492|b3493|b3494|b3495|b3496|b3497|b3498|b3499|b3500|b3501|b3502|b3506|b3507|b3508|b3509|b3510|b3511|b3512|b3513|b3514|b3515|b3516|b3517|b3518|b3519|b3520|b3521|b3522|b3523|b3524|b3525|b3526|b3527|b3528|b3529|b3530|b3531|b3532|b3533|b3535|b3536|b3537|b3538|b3539|b3540|b3541|b3542|b3543|b3544|b3546|b3547|b3548|b3549|b3550|b3551|b3552|b3553|b3554|b3555|b3556|b3557|b3558|b3559|b3560|b3561|b3563|b3564|b3565|b3566|b3567|b3568|b3569|b3570|b3571|b3572|b3573|b3574|b3575|b3576|b3577|b3578|b3579|b3580|b3581|b3582|b3583|b3584|b3585|b3586|b3587|b3588|b3589|b3590|b3591|b4660_1,
dox2__dox__2,dox2,dox,2,,b1530|b3480|b3481|b3482|b3483|b3485|b3486|b3487|b3488|b3491|b3492|b3493|b3494|b3495|b3496|b3497|b3498|b3499|b3500|b3501|b3502|b3506|b3507|b3508|b3509|b3510|b3511|b3512|b3513|b3514|b3515|b3516|b3517|b3518|b3519|b3520|b3521|b3522|b3523|b3524|b3525|b3526|b3527|b3528|b3529|b3530|b3531|b3532|b3533|b3535|b3536|b3537|b3538|b3539|b3540|b3541|b3542|b3543|b3544|b3546|b3547|b3548|b3549|b3550|b3551|b3552|b3553|b3554|b3555|b3556|b3557|b3558|b3559|b3560|b3561|b3563|b3564|b3565|b3566|b3567|b3568|b3569|b3570|b3571|b3572|b3573|b3574|b3575|b3576|b3577|b3578|b3579|b3580|b3581|b3582|b3583|b3584|b3585|b3586|b3587|b3588|b3589|b3590|b3591|b4660_1,
dox2__dox__3,dox2,dox,3,,b1530|b3480|b3481|b3482|b3483|b3485|b3486|b3487|b3488|b3491|b3492|b3493|b3494|b3495|b3496|b3497|b3498|b3499|b3500|b3501|b3502|b3506|b3507|b3508|b3509|b3510|b3511|b3512|b3513|b3514|b3515|b3516|b3517|b3518|b3519|b3520|b3521|b3522|b3523|b3524|b3525|b3526|b3527|b3528|b3529|b3530|b3531|b3532|b3533|b3535|b3536|b3537|b3538|b3539|b3540|b3541|b3542|b3543|b3544|b3546|b3547|b3548|b3549|b3550|b3551|b3552|b3553|b3554|b3555|b3556|b3557|b3558|b3559|b3560|b3561|b3563|b3564|b3565|b3566|b3567|b3568|b3569|b3570|b3571|b3572|b3573|b3574|b3575|b3576|b3577|b3578|b3579|b3580|b3581|b3582|b3583|b3584|b3585|b3586|b3587|b3588|b3589|b3590|b3591|b4660_1,
dox5__dox__1,dox5,dox,1,,b3780,
dox5__dox__2,dox5,dox,2,,b3780,
dox5__dox__3,dox5,dox,3,,b3780,
ery2__ery__1,ery2,ery,1,,,
ery2__ery__2,ery2,ery,2,,,
ery2__ery__3,ery2,ery,3,,,
ery6__ery__1,ery6,ery,1,,,
ery6__ery__2,ery6,ery,2,,,
ery6__ery__3,ery6,ery,3,,,
fox1__fox__1,fox1,fox,1,,b2215,
fox1__fox__2,fox1,fox,2,,b2215,
fox1__fox__3,fox1,fox,3,,b2215,
fox8__fox__1,fox8,fox,1,,b2215,
fox8__fox__2,fox8,fox,2,,b2215,
fox8__fox__3,fox8,fox,3,,b2215,
trm6__trm__1,trm6,trm,1,,,
trm6__trm__2,trm6,trm,2,,,
trm6__trm__3,trm6,trm,3,,,
trm7__trm__1,trm7,trm,1,,b0042|b0043|b0044|b0045|b0046|b0047|b0048|b0049|b0050|b0051|b0052|b0053,
trm7__trm__2,trm7,trm,2,,b0042|b0043|b0044|b0045|b0046|b0047|b0048|b0049|b0050|b0051|b0052|b0053,
trm7__trm__3,trm7,trm,3,,b0042|b0043|b0044|b0045|b0046|b0047|b0048|b0049|b0050|b0051|b0052|b0053,
nal6__nal__1,nal6,nal,1,,b0799,
nal6__nal__2,nal6,nal,2,,b0799,
nal6__nal__3,nal6,nal,3,,b0799,
nal8__nal__1,nal8,nal,1,,b0464,
nal8__nal__2,nal8,nal,2,,b0464,
nal8__nal__3,nal8,nal,3,,b0464,
nit6__nal__1,nit6,nit,1,,,
nit6__nal__2,nit6,nit,2,,,
nit6__nal__3,nit6,nit,3,,,
nit7__nal__1,nit7,nit,1,,,
nit7__nal__2,nit7,nit,2,,,
nit7__nal__3,nit7,nit,3,,,
tet1__tet__1,tet1,tet,1,,b1530,
tet1__tet__2,tet1,tet,2,,b1530,
tet1__tet__3,tet1,tet,3,,b1530,
tet7__tet__1,tet7,tet,1,,,
tet7__tet__2,tet7,tet,2,,,
tet7__tet__3,tet7,tet,3,,,
tob8__tob__1,tob8,tob,1,,b0375|b0377|b2285|b2014,
tob8__tob__2,tob8,tob,2,,b0375|b0377|b2285|b2014,
tob8__tob__3,tob8,tob,3,,b0375|b0377|b2285|b2014,
tob9__tob__1,tob9,tob,1,,b0375|b0377|b0378|b0379|b0380|b0381|b0382|b0383|b0384|b0385|b0386,
tob9__tob__2,tob9,tob,2,,b0375|b0377|b0378|b0379|b0380|b0381|b0382|b0383|b0384|b0385|b0386,
tob9__tob__3,tob9,tob,3,,b0375|b0377|b0378|b0379|b0380|b0381|b0382|b0383|b0384|b0385|b0386,
wt__ctrl2__1,wt,ctrl2,1,,,
wt__ctrl2__2,wt,ctrl2,2,,,
wt__ctrl2__3,wt,ctrl2,3,,,
wt__ctrl3__1,wt,ctrl3,1,,,
wt__ctrl3__2,wt,ctrl3,2,,,
wt__ctrl3__3,wt,ctrl3,3,,,
wt__ctrl4__1,wt,ctrl4,1,,,
wt__ctrl4__2,wt,ctrl4,2,,,
wt__ctrl4__3,wt,ctrl4,3,,,
