sample_id,project_id,condition_id,rep,baseline,gene_change,change_type
kan1__kan__1,kan1,kan,1,,b0375|b0377,
kan1__kan__2,kan1,kan,2,,b0375|b0377,
kan1__kan__3,kan1,kan,3,,b0375|b0377,
kan4__kan__1,kan4,kan,1,,b0375|b0377,
kan4__kan__2,kan4,kan,2,,b0375|b0377,
kan4__kan__3,kan4,kan,3,,b0375|b0377,
amp7__amp__1,amp7,amp,1,,b4151,
amp7__amp__2,amp7,amp,2,,b4151,
amp7__amp__3,amp7,amp,3,,b4151,
wt__ctrl1__1,wt,ctrl1,1,TRUE,,
wt__ctrl1__2,wt,ctrl1,2,TRUE,,
wt__ctrl1__3,wt,ctrl1,3,TRUE,,
amp9__amp__1,amp9,amp,1,,,
amp9__amp__2,amp9,amp,2,,,
amp9__amp__3,amp9,amp,3,,,
chl2__chl__1,chl2,chl,1,,,
chl2__chl__2,chl2,chl,2,,,
chl2__chl__3,chl2,chl,3,,,
chl9__chl__1,chl9,chl,1,,b0841|b0842|b0843|b0844|b0845|b0846|b0847|b0848|b0849|b0850|b0851|b0852|b0853|b0854|b0855|b0856|b0857|b0858|b0859|b0860|b0861|b0862|b0863|b0864|b0865|b0866|b0867|b0869|b0870|b0871|b0872|b0873,
chl9__chl__2,chl9,chl,2,,b0841|b0842|b0843|b0844|b0845|b0846|b0847|b0848|b0849|b0850|b0851|b0852|b0853|b0854|b0855|b0856|b0857|b0858|b0859|b0860|b0861|b0862|b0863|b0864|b0865|b0866|b0867|b0869|b0870|b0871|b0872|b0873,
chl9__chl__3,chl9,chl,3,,b0841|b0842|b0843|b0844|b0845|b0846|b0847|b0848|b0849|b0850|b0851|b0852|b0853|b0854|b0855|b0856|b0857|b0858|b0859|b0860|b0861|b0862|b0863|b0864|b0865|b0866|b0867|b0869|b0870|b0871|b0872|b0873,
cpr4__cpr__1,cpr4,cpr,1,,b0464|b1676|b3229|b3643,
cpr4__cpr__2,cpr4,cpr,2,,b0464|b1676|b3229|b3643,
cpr4__cpr__3,cpr4,cpr,3,,b0464|b1676|b3229|b3643,
cpr9__cpr__1,cpr9,cpr,1,,b1530|b3195|b0929|b1782|b2569|b2960|b3229|b3643,
cpr9__cpr__2,cpr9,cpr,2,,b1530|b3195,
cpr9__cpr__3,cpr9,cpr,3,,b1530|b3195,
