,test_vs_ref_x,test,ref_x,ContrastName_x,variable,ref_value,test_vs_ref_y,ref_y,ContrastName_y,test_value
38,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.7,ref_E-TABM-103_t3.1,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,186+216min
39,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.7,ref_E-TABM-103_t3.1,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,186+216min
52,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t7.8,ref_E-TABM-103_t3.1,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,186+282min
53,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t7.8,ref_E-TABM-103_t3.1,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,186+282min
54,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t7.8,ref_E-TABM-103_t3.1,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.29.ch1-vs-E-TABM-103.3.ch1,186+282min
55,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t7.8,ref_E-TABM-103_t3.1,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.60.ch1-vs-E-TABM-103.3.ch1,186+282min
68,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t9,ref_E-TABM-103_t3.1,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,186+354min
69,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t9,ref_E-TABM-103_t3.1,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,186+354min
70,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t9,ref_E-TABM-103_t3.1,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.34.ch1-vs-E-TABM-103.3.ch1,186+354min
71,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t9,ref_E-TABM-103_t3.1,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.63.ch1-vs-E-TABM-103.3.ch1,186+354min
84,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t16,ref_E-TABM-103_t3.1,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,186+774min
85,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t16,ref_E-TABM-103_t3.1,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,186+774min
86,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t16,ref_E-TABM-103_t3.1,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.39.ch1-vs-E-TABM-103.3.ch1,186+774min
87,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t16,ref_E-TABM-103_t3.1,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.66.ch1-vs-E-TABM-103.3.ch1,186+774min
104,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t4.6,ref_E-TABM-103_t3.1,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,186+90min
105,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t4.6,ref_E-TABM-103_t3.1,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,186+90min
106,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t4.6,ref_E-TABM-103_t3.1,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.48.ch1-vs-E-TABM-103.3.ch1,186+90min
107,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t4.6,ref_E-TABM-103_t3.1,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.9.ch1-vs-E-TABM-103.3.ch1,186+90min
589,E-MEXP-584.17548.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_urine,ref_E-MEXP-584_MOPS,E-MEXP-584.17548.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
590,E-MEXP-584.17549.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_urine,ref_E-MEXP-584_MOPS,E-MEXP-584.17549.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
591,E-MEXP-584.17550.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_urine,ref_E-MEXP-584_MOPS,E-MEXP-584.17550.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
637,E-MEXP-584.17551.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat1,ref_E-MEXP-584_MOPS,E-MEXP-584.17551.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
638,E-MEXP-584.17552.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat1,ref_E-MEXP-584_MOPS,E-MEXP-584.17552.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
639,E-MEXP-584.17555.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat1,ref_E-MEXP-584_MOPS,E-MEXP-584.17555.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
685,E-MEXP-584.17553.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat2,ref_E-MEXP-584_MOPS,E-MEXP-584.17553.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
686,E-MEXP-584.17554.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat2,ref_E-MEXP-584_MOPS,E-MEXP-584.17554.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
687,E-MEXP-584.17556.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat2,ref_E-MEXP-584_MOPS,E-MEXP-584.17556.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
733,E-MEXP-584.17557.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat3,ref_E-MEXP-584_MOPS,E-MEXP-584.17557.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
734,E-MEXP-584.17558.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat3,ref_E-MEXP-584_MOPS,E-MEXP-584.17558.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
735,E-MEXP-584.17559.ch1-vs-E-MEXP-584.17545.ch1,test_E-MEXP-584_pat3,ref_E-MEXP-584_MOPS,E-MEXP-584.17559.ch1-vs-E-MEXP-584.17545.ch1,MEDIUM.MOPS,1,,,,
1116,E-MEXP-910.23147.ch1-vs-E-MEXP-910.23149.ch1,test_E-MEXP-910_MG_kan_N15+,ref_E-MEXP-910_MG_kan_tos_N15+,E-MEXP-910.23147.ch1-vs-E-MEXP-910.23149.ch1,STRAIN.Mg_kan_tos_N15+,1,,,,
1122,E-MEXP-910.23148.ch1-vs-E-MEXP-910.23149.ch1,test_E-MEXP-910_MG_kan_tos_N15,ref_E-MEXP-910_MG_kan_tos_N15+,E-MEXP-910.23148.ch1-vs-E-MEXP-910.23149.ch1,STRAIN.Mg_kan_tos_N15+,1,,,,
1128,E-MEXP-926.23430.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_MOPS_glucose_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23430.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1129,E-MEXP-926.23431.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_MOPS_glucose_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23431.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1130,E-MEXP-926.23432.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_MOPS_glucose_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23432.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1185,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1186,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1187,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1188,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1189,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1190,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1191,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1192,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1193,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1194,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23433.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1195,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23434.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1196,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23435.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1224,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1225,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1226,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,STRAIN.VR50,1,,,,
1227,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1228,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1229,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1230,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1231,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1232,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1233,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1234,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1235,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1254,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23436.ch1-vs-E-MEXP-926.23441.ch1,GROWTH.EXPONENTIAL,1,,,,
1255,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23437.ch1-vs-E-MEXP-926.23441.ch1,GROWTH.EXPONENTIAL,1,,,,
1256,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_83972,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23438.ch1-vs-E-MEXP-926.23441.ch1,GROWTH.EXPONENTIAL,1,,,,
1294,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1295,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1296,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1297,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1298,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1299,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1300,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23442.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1301,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23443.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1302,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23444.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1339,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1340,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1341,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,MEDIUM.MOPS,1,,,,
1342,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1343,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1344,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,GLUCOSE,0.02%,,,,
1345,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1346,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1347,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23447.ch1-vs-E-MEXP-926.23441.ch1,PANTOTHENIC_ACID,1mg/L,,,,
1366,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23445.ch1-vs-E-MEXP-926.23441.ch1,GROWTH.EXPONENTIAL,1,,,,
1367,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,test_E-MEXP-926_urine_biofilm_VR50,ref_E-MEXP-926_MOPS_glucose_VR50,E-MEXP-926.23446.ch1-vs-E-MEXP-926.23441.ch1,GROWTH.EXPONENTIAL,1,,,,
