,test_vs_ref_x,test,ref_x,ContrastName_x,variable,ref_value,test_vs_ref_y,ref_y,ContrastName_y,test_value
4,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t5.1,ref_E-TABM-103_t3.1,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,186+120min
5,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t5.1,ref_E-TABM-103_t3.1,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,186+120min
6,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t5.1,ref_E-TABM-103_t3.1,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.14.ch1-vs-E-TABM-103.3.ch1,186+120min
7,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t5.1,ref_E-TABM-103_t3.1,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.51.ch1-vs-E-TABM-103.3.ch1,186+120min
20,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.1,ref_E-TABM-103_t3.1,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,186+180min
21,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.1,ref_E-TABM-103_t3.1,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,186+180min
22,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.1,ref_E-TABM-103_t3.1,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.19.ch1-vs-E-TABM-103.3.ch1,186+180min
23,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.1,ref_E-TABM-103_t3.1,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.54.ch1-vs-E-TABM-103.3.ch1,186+180min
36,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.7,ref_E-TABM-103_t3.1,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,186+216min
37,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,test_E-TABM-103_t6.7,ref_E-TABM-103_t3.1,E-TABM-103.24.ch1-vs-E-TABM-103.3.ch1,TIME,186min,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,ref_E-TABM-103_t3.1,E-TABM-103.57.ch1-vs-E-TABM-103.3.ch1,186+216min
