,dataset,component,type,description,pvalue,qvalue,precision,recall,f1score,TP
64,colombos,51,regulatory,rhaS,5.15223042978865e-10,1.3601888334642035e-07,0.3076923076923077,0.8,0.4444444444444444,4.0
65,colombos,52,regulatory,argR,1.9513384032610063e-36,5.151533384609056e-34,0.8571428571428571,0.5294117647058824,0.6545454545454545,18.0
66,colombos,53,regulatory,yieP,5.109388986041604e-11,1.3488786923149835e-08,0.8333333333333334,0.20833333333333334,0.33333333333333337,5.0
67,colombos,54,regulatory,fliA,1.3564021180439323e-48,3.580901591635981e-46,0.9310344827586207,0.43548387096774194,0.5934065934065935,27.0
69,colombos,55,regulatory,gadX,4.3934001542384475e-31,1.1598576407189502e-28,1.0,0.5652173913043478,0.7222222222222222,13.0
77,colombos,56,regulatory,nadR,0.0,0.0,1.0,1.0,1.0,4.0
78,colombos,58,regulatory,cdaR,2.356281022025039e-18,6.220581898146102e-16,0.8571428571428571,1.0,0.923076923076923,6.0
79,colombos,59,regulatory,kdpE,5.182807278668688e-10,1.3682611215685337e-07,0.75,1.0,0.8571428571428571,3.0
80,colombos,60,regulatory,paaX,1.1487190271837279e-29,3.0326182317650416e-27,1.0,0.7857142857142857,0.88,11.0
84,colombos,61,regulatory,gcvA,2.0726896871132516e-09,5.471900773978984e-07,0.75,0.75,0.75,3.0
85,colombos,62,regulatory,ypdB,0.0,0.0,1.0,1.0,1.0,1.0
86,colombos,63,regulatory,hprR,1.5938019477503484e-13,2.1038185710304598e-11,1.0,0.4166666666666667,0.5882352941176471,5.0
94,colombos,65,regulatory,dksA,5.117846337369734e-25,1.3511114330656097e-22,0.782608695652174,0.18181818181818182,0.2950819672131148,18.0
96,colombos,68,regulatory,thr-tRNA,5.182807278668688e-10,1.3682611215685337e-07,0.75,1.0,0.8571428571428571,3.0
98,colombos,69,regulatory,nrdR,1.1269306701281958e-14,2.975096969138437e-12,1.0,0.625,0.7692307692307693,5.0
99,colombos,71,regulatory,allR,1.1269306701281958e-14,2.975096969138437e-12,1.0,0.625,0.7692307692307693,5.0
100,colombos,73,regulatory,leu-tRNA,2.72323079189769e-10,7.189329290609901e-08,0.6666666666666666,0.4444444444444444,0.5333333333333333,4.0
102,colombos,74,regulatory,rob,1.1867498360592806e-11,3.133019567196501e-09,0.35,0.30434782608695654,0.3255813953488372,7.0
105,colombos,75,regulatory,arcA,4.697514949975484e-16,1.2401439467935277e-13,1.0,0.07333333333333333,0.13664596273291926,11.0
108,colombos,76,regulatory,val-tRNA,7.220405793628327e-13,1.9061871295178784e-10,1.0,0.8,0.888888888888889,4.0
112,colombos,77,regulatory,glcC,5.182807278651601e-10,1.3682611215640227e-07,1.0,0.75,0.8571428571428571,3.0
113,colombos,82,regulatory,melR,0.0,0.0,1.0,1.0,1.0,3.0
114,colombos,83,regulatory,cbl,9.297178028583605e-14,2.4544549995460717e-11,0.45454545454545453,1.0,0.625,5.0
116,colombos,86,regulatory,fecI,0.0,0.0,1.0,1.0,1.0,5.0
120,colombos,90,regulatory,iscR,4.428028020450216e-12,7.302734585685068e-10,0.75,0.20689655172413793,0.32432432432432434,6.0
124,colombos,91,regulatory,puuR,2.356281022025039e-18,6.220581898146102e-16,0.8571428571428571,1.0,0.923076923076923,6.0
126,colombos,92,regulatory,mraZ,2.7024762793196358e-36,7.134537377403839e-34,0.9333333333333333,0.875,0.9032258064516129,14.0
129,colombos,93,regulatory,malT,4.2042715780895425e-20,1.1099276966156392e-17,0.875,0.875,0.875,7.0
130,colombos,94,regulatory,iclR,5.182807278651601e-10,1.3682611215640227e-07,1.0,0.75,0.8571428571428571,3.0
131,colombos,95,regulatory,rcsB;bglJ,6.888598627278268e-09,1.8185900376014629e-06,0.06451612903225806,0.75,0.11881188118811882,6.0
132,colombos,96,regulatory,narL,1.0182270396427391e-20,2.688119384656831e-18,1.0,0.11818181818181818,0.21138211382113822,13.0
137,colombos,97,regulatory,rpoE,5.312525763101733e-56,1.4025068014588576e-53,0.6133333333333333,0.4423076923076923,0.5139664804469273,46.0
139,colombos,98,regulatory,rcsA;rcsB,1.6455230975778747e-08,4.344180977605589e-06,0.20833333333333334,0.35714285714285715,0.2631578947368421,5.0
140,colombos,99,regulatory,lrp,8.900817365431792e-12,2.349815784473993e-09,0.7777777777777778,0.11666666666666667,0.2028985507246377,7.0
141,colombos,100,regulatory,lsrR,0.0,0.0,1.0,1.0,1.0,8.0
143,colombos,101,regulatory,pspF,1.2074257179956783e-15,3.187603895508591e-13,1.0,0.8333333333333334,0.9090909090909091,5.0
145,colombos,103,regulatory,fadR,1.571824627482704e-08,4.149617016554339e-06,0.6666666666666666,0.18181818181818182,0.28571428571428575,4.0
146,colombos,106,regulatory,nanR,3.2674909032122785e-08,8.626175984480415e-06,0.25,0.4444444444444444,0.32,4.0
147,colombos,110,regulatory,araC,5.204056244943021e-19,1.3738708486649575e-16,1.0,0.5833333333333334,0.7368421052631579,7.0
148,colombos,113,regulatory,purR,3.808644610277993e-36,1.0054821771133902e-33,0.6551724137931034,0.6333333333333333,0.6440677966101694,19.0
149,colombos,117,regulatory,rprA,0.0,0.0,1.0,1.0,1.0,1.0
151,colombos,121,regulatory,nsrR,5.585533748753234e-12,1.4745809096708537e-09,0.875,0.10144927536231885,0.18181818181818182,7.0
152,colombos,122,regulatory,dksA,2.947769801508937e-09,7.782112275983594e-07,0.6363636363636364,0.0707070707070707,0.12727272727272726,7.0
153,colombos,125,regulatory,micF,0.0,0.0,1.0,1.0,1.0,1.0
154,colombos,127,regulatory,flhD;flhC,6.124534991402877e-38,1.6168772377303594e-35,0.8275862068965517,0.32432432432432434,0.46601941747572806,24.0
158,colombos,128,regulatory,UTP,6.594432888253544e-17,1.7409302824989354e-14,0.8571428571428571,0.75,0.7999999999999999,6.0
159,colombos,130,regulatory,soxS,8.489804886510571e-39,2.2413084900387906e-36,0.37681159420289856,0.7027027027027027,0.49056603773584906,26.0
162,colombos,131,regulatory,prpR,7.220405793628327e-13,1.9061871295178784e-10,1.0,0.8,0.888888888888889,4.0
163,colombos,132,regulatory,trpR,2.3654801113478967e-20,6.244867493958447e-18,1.0,0.7777777777777778,0.8750000000000001,7.0
165,colombos,142,regulatory,gatR,1.2074257179978747e-15,3.1876038955143894e-13,0.8333333333333334,1.0,0.9090909090909091,5.0
166,colombos,143,regulatory,dcuR,6.297622886494292e-13,1.662572442034493e-10,0.625,0.625,0.625,5.0
168,colombos,146,regulatory,putA,0.0,0.0,1.0,1.0,1.0,2.0
169,colombos,147,regulatory,rpoH,3.784273912038625e-08,9.99048312778197e-06,0.75,0.04878048780487805,0.09160305343511452,6.0
170,colombos,148,regulatory,tyrR,1.9469676293779265e-12,5.139994541557726e-10,0.7142857142857143,0.45454545454545453,0.5555555555555556,5.0
171,colombos,149,regulatory,exuR,1.9778567704266136e-16,5.2215418739262597e-14,0.6666666666666666,0.8571428571428571,0.75,6.0
173,colombos,150,regulatory,TPP,5.935498137507315e-22,1.566971508301931e-19,0.8888888888888888,0.8,0.8421052631578948,8.0
174,colombos,153,regulatory,ygbI,2.3399910414798735e-12,6.177576349506865e-10,0.2631578947368421,1.0,0.4166666666666667,5.0
176,colombos,154,regulatory,gutM,7.242871250142941e-15,9.560590050188682e-13,0.8333333333333334,0.8333333333333334,0.8333333333333334,5.0
178,colombos,157,regulatory,argP,5.09888420410072e-10,1.34610542988259e-07,0.38461538461538464,0.35714285714285715,0.3703703703703704,5.0
179,colombos,158,regulatory,tdcA,0.0,0.0,1.0,1.0,1.0,3.0
181,colombos,160,regulatory,csqR,2.1893994930993027e-13,5.780014661782159e-11,0.10666666666666667,0.8888888888888888,0.19047619047619047,8.0
182,colombos,169,regulatory,lldR,0.0,0.0,1.0,1.0,1.0,3.0
183,colombos,174,regulatory,galS,5.049776332907277e-11,6.665704759437606e-09,0.8,0.5,0.6153846153846154,4.0
185,colombos,175,regulatory,ntrC,8.97274736996796e-10,2.3688053056715413e-07,0.8333333333333334,0.12195121951219512,0.21276595744680848,5.0
186,colombos,176,regulatory,cpxR,1.3172078956432342e-22,3.477428844498138e-20,0.34545454545454546,0.35185185185185186,0.3486238532110092,19.0
187,colombos,178,regulatory,nanR,7.79084803206863e-18,2.056783880466118e-15,0.6363636363636364,0.7777777777777778,0.7000000000000001,7.0
188,colombos,180,regulatory,fadR,8.646388708330286e-17,2.2826466189991953e-14,0.5,0.4090909090909091,0.45,9.0
190,colombos,184,regulatory,iscR,3.284594625269721e-11,8.671329810712063e-09,0.6,0.20689655172413793,0.3076923076923077,6.0
192,colombos,186,regulatory,dhaR,5.182807278651601e-10,1.3682611215640227e-07,1.0,0.75,0.8571428571428571,3.0
193,colombos,188,regulatory,oxyR,1.3929796566978287e-15,3.6774662936822676e-13,0.7272727272727273,0.26666666666666666,0.3902439024390244,8.0
194,colombos,190,regulatory,L-tryptophan,0.0,0.0,1.0,1.0,1.0,2.0
195,colombos,192,regulatory,hprR,8.683850429478156e-15,1.1462682566911166e-12,0.75,0.5,0.6,6.0
198,colombos,194,regulatory,rbsR,2.8275372264262935e-17,7.464698277765415e-15,1.0,0.6666666666666666,0.8,6.0
199,colombos,195,regulatory,lexA,8.904354057381209e-36,2.350749471148639e-33,0.75,0.42,0.5384615384615385,21.0
200,colombos,197,regulatory,bluR,0.0,0.0,1.0,1.0,1.0,4.0
201,colombos,198,regulatory,phoB,1.8786534992292637e-20,4.959645237965256e-18,0.39473684210526316,0.3409090909090909,0.36585365853658536,15.0
203,colombos,202,regulatory,phoP,1.3118862544864896e-16,3.463379711844332e-14,0.3333333333333333,0.29545454545454547,0.3132530120481928,13.0
204,colombos,204,regulatory,rpoH,8.33115281641203e-34,2.199424343532776e-31,1.0,0.17886178861788618,0.30344827586206896,22.0
205,colombos,205,regulatory,glpR,9.425124088123564e-18,2.488232759264621e-15,1.0,0.75,0.8571428571428571,6.0
206,colombos,206,regulatory,cytR,3.1021518704530946e-19,8.189680937996169e-17,0.6153846153846154,0.7272727272727273,0.6666666666666667,8.0
208,colombos,208,regulatory,spermidine,0.0,0.0,1.0,1.0,1.0,5.0
214,colombos,210,regulatory,csiR,0.0,0.0,1.0,1.0,1.0,4.0
216,colombos,211,regulatory,fur,1.9456944499545772e-28,5.1366333478800837e-26,0.7777777777777778,0.2,0.3181818181818182,21.0
217,colombos,212,regulatory,molybdopterin,0.0,0.0,1.0,1.0,1.0,4.0
220,colombos,215,regulatory,phoB,2.3179751056900584e-15,6.119454279021754e-13,0.8888888888888888,0.18181818181818182,0.3018867924528302,8.0
221,colombos,217,regulatory,argR,3.326137160816251e-08,8.781002104554903e-06,0.8,0.11764705882352941,0.20512820512820512,4.0
223,colombos,222,regulatory,lrp,1.6852074743940404e-11,4.4489477324002664e-09,1.0,0.1,0.18181818181818182,6.0
226,colombos,226,regulatory,gadW,3.2502161794655236e-14,8.580570713788982e-12,0.5454545454545454,0.6,0.5714285714285713,6.0
231,colombos,228,regulatory,modE,1.4347928683419524e-12,3.266278463493302e-10,0.7,0.175,0.27999999999999997,7.0
237,colombos,231,regulatory,fur,2.0272897930610933e-25,5.352045053681286e-23,0.76,0.18095238095238095,0.29230769230769227,19.0
238,colombos,233,regulatory,leuO,2.698572780927977e-11,4.148590358912876e-09,0.18421052631578946,0.5,0.2692307692307692,7.0
241,colombos,236,regulatory,rpoE,4.3090300382124387e-10,1.1375839300880838e-07,0.6153846153846154,0.07692307692307693,0.13675213675213677,8.0
242,colombos,240,regulatory,nrdR,7.255930190115878e-09,1.436674177645061e-06,1.0,0.375,0.5454545454545454,3.0
