,dataset,component,type,description,pvalue,qvalue,precision,recall,f1score,TP
0,colombos,1,regulatory,rpoH,1.301605070435277e-75,3.436237385949131e-73,0.7631578947368421,0.4715447154471545,0.5829145728643216,58.0
1,colombos,3,regulatory,nikR,1.2074257179956783e-15,3.187603895508591e-13,1.0,0.8333333333333334,0.9090909090909091,5.0
4,colombos,5,regulatory,narP,7.489178706578404e-13,1.9771431785366984e-10,0.7777777777777778,0.16279069767441862,0.2692307692307693,7.0
8,colombos,6,regulatory,metJ,1.3143757870091497e-23,3.469952077704155e-21,0.5882352941176471,0.8333333333333334,0.6896551724137931,10.0
10,colombos,7,regulatory,glpR,6.75687145881418e-14,1.7838140651269436e-11,0.8333333333333334,0.625,0.7142857142857143,5.0
11,colombos,9,regulatory,evgA,1.3097283121098597e-20,3.4576827439700297e-18,0.6923076923076923,0.6,0.6428571428571429,9.0
12,colombos,10,regulatory,mlc,1.891460331155639e-19,4.9934552742508863e-17,0.875,0.7777777777777778,0.823529411764706,7.0
13,colombos,12,regulatory,cysB,9.497818154210268e-21,2.5074239927115108e-18,0.7692307692307693,0.4,0.5263157894736842,10.0
14,colombos,13,regulatory,flhD;flhC,5.448046281032424e-29,1.43828421819256e-26,0.9444444444444444,0.22972972972972974,0.3695652173913043,17.0
16,colombos,14,regulatory,zur,1.1269306701313508e-14,2.9750969691467658e-12,0.625,1.0,0.7692307692307693,5.0
17,colombos,15,regulatory,his-tRNA,0.0,0.0,1.0,1.0,1.0,8.0
19,colombos,24,regulatory,narP,3.996422346468491e-09,6.496179339813454e-07,0.7142857142857143,0.11627906976744186,0.2,5.0
21,colombos,31,regulatory,leuO,5.590554871813949e-09,1.4759064861588824e-06,0.06201550387596899,0.5714285714285714,0.11188811188811189,8.0
22,colombos,32,regulatory,hprR,2.1804971283926274e-08,2.878256209478268e-06,0.16666666666666666,0.4166666666666667,0.23809523809523808,5.0
24,colombos,33,regulatory,dksA,2.1074288125227866e-36,5.563612065060157e-34,0.9583333333333334,0.23232323232323232,0.37398373983739835,23.0
25,colombos,35,regulatory,dpiA,6.303328173983317e-19,1.6640786379315958e-16,0.875,0.7,0.7777777777777777,7.0
28,colombos,36,regulatory,appY,3.682070804899947e-26,9.72066692493586e-24,0.9,1.0,0.9473684210526316,9.0
36,colombos,38,regulatory,narL,2.090939580080965e-11,5.520080491413748e-09,1.0,0.06363636363636363,0.11965811965811964,7.0
38,colombos,39,regulatory,narL,3.0101377344252646e-11,7.946763618882698e-09,0.6428571428571429,0.08181818181818182,0.14516129032258066,9.0
41,colombos,40,regulatory,ntrC,2.0255436442835946e-27,5.3474352209086895e-25,0.6666666666666666,0.3902439024390244,0.4923076923076923,16.0
44,colombos,41,regulatory,fhlA,4.50428813949816e-31,1.1891320688275143e-28,0.9333333333333333,0.5185185185185185,0.6666666666666667,14.0
49,colombos,42,regulatory,metJ,2.8505440032590828e-08,7.5254361686039784e-06,1.0,0.25,0.4,3.0
50,colombos,44,regulatory,cysB,7.076466729904424e-17,1.868187216694768e-14,0.8,0.32,0.45714285714285713,8.0
51,colombos,45,regulatory,fliZ,2.6955854891977936e-15,7.116345691482175e-13,1.0,0.375,0.5454545454545454,6.0
62,colombos,47,regulatory,narL,7.153700855502461e-10,1.8885770258526495e-07,0.7777777777777778,0.06363636363636363,0.1176470588235294,7.0
63,colombos,50,regulatory,cysB,5.359869178134928e-11,1.415005463027621e-08,0.5,0.24,0.32432432432432434,6.0
