,TF,gene_id,effect,ev_level
346,betI,b0311,-,weak
347,betI,b0312,-,weak
348,betI,b0313,-,weak
349,betI,b0314,-,weak
350,birA,b0774,-,strong
351,birA,b0776,-,strong
352,birA,b0778,-,strong
353,bluR,b1164,-,strong
354,bluR,b1165,-,strong
355,bluR,b1166,-,strong
356,bluR,b1167,-,strong
357,bolA,b0839,+-,weak
358,bolA,b4150,+-,weak
359,btsR,b4354,+,strong
360,cadC,b4131,+,strong
361,cadC,b4132,+,strong
362,cadC,b4133,+,weak
363,caiF,b0035,+,strong
364,caiF,b0036,+,strong
365,caiF,b0037,+,strong
366,caiF,b0038,+,strong
367,caiF,b0039,+,strong
368,caiF,b0040,+,strong
369,caiF,b0041,+,strong
370,caiF,b0042,+,strong
371,caiF,b0043,+,strong
372,caiF,b0044,+,strong
373,cbl,b0365,+,strong
374,cbl,b0366,+,strong
375,cbl,b0367,+,strong
376,cbl,b0933,+,strong
377,cbl,b0934,+,strong
378,cbl,b0936,+,strong
379,cbl,b0937,+,strong
380,cdaR,b0162,+,weak
381,cdaR,b2788,+,weak
382,cdaR,b2789,+,weak
383,cdaR,b3125,+,weak
384,cdaR,b3126,+,weak
385,cdaR,b3127,+,weak
386,cdaR,b3128,+,weak
387,cecR,b0792,-,strong
388,cecR,b0793,-,strong
389,cecR,b0795,-,strong
390,cecR,b0796,-,strong
391,chbR,b1733,+-,strong
392,chbR,b1734,+-,strong
393,chbR,b1735,+-,strong
394,chbR,b1736,+-,strong
395,chbR,b1738,+-,strong
396,comR,b1112,-,strong
397,cpxQ,b0178,-,weak
398,cpxR,b0161,+,strong
399,cpxR,b0178,+,weak
400,cpxR,b0179,+,weak
401,cpxR,b0180,+,weak
402,cpxR,b0181,+,weak
403,cpxR,b0377,+,weak
404,cpxR,b0378,+,weak
405,cpxR,b0441,+,strong
406,cpxR,b0460,+,strong
407,cpxR,b0461,+,strong
408,cpxR,b0754,+,strong
409,cpxR,b0925,+,strong
410,cpxR,b0929,-,strong
411,cpxR,b0970,+,strong
412,cpxR,b1037,-,strong
413,cpxR,b1038,-,strong
414,cpxR,b1039,-,strong
415,cpxR,b1040,-,strong
416,cpxR,b1041,-,strong
417,cpxR,b1042,-,strong
418,cpxR,b1043,-,strong
419,cpxR,b1113,+,strong
420,cpxR,b1530,+,strong
421,cpxR,b1531,+,strong
422,cpxR,b1532,+,strong
423,cpxR,b1535,+,strong
424,cpxR,b1743,+,strong
425,cpxR,b1846,+,strong
426,cpxR,b1887,-,strong
427,cpxR,b1888,-,strong
428,cpxR,b1889,-,strong
429,cpxR,b1890,-,strong
430,cpxR,b1902,+,strong
431,cpxR,b2074,+,strong
432,cpxR,b2075,+,strong
433,cpxR,b2076,+,strong
434,cpxR,b2077,+,strong
435,cpxR,b2078,+,strong
436,cpxR,b2079,+,strong
437,cpxR,b2215,+,strong
438,cpxR,b2470,+,strong
439,cpxR,b2570,-,weak
440,cpxR,b2572,-,weak
441,cpxR,b2573,-,weak
442,cpxR,b2580,-,strong
443,cpxR,b2617,-,weak
444,cpxR,b2665,+,strong
445,cpxR,b2666,+,strong
446,cpxR,b2893,+,weak
447,cpxR,b3057,+,weak
448,cpxR,b3095,+,strong
449,cpxR,b3096,+,strong
450,cpxR,b3363,+,strong
451,cpxR,b3461,+,weak
452,cpxR,b3859,+,strong
453,cpxR,b3860,+,strong
454,cpxR,b3911,+,strong
455,cpxR,b3912,+,strong
456,cpxR,b4159,-,weak
457,cpxR,b4160,-,weak
458,cpxR,b4355,-,strong
459,cpxR,b4392,+,strong
460,cpxR,b4484,+,strong
461,cra,b0070,-,weak
462,cra,b0112,+,weak
463,cra,b0113,-,weak
464,cra,b0114,-,weak
465,cra,b0116,-,weak
466,cra,b0118,-,weak
467,cra,b0311,+,weak
468,cra,b0312,+,weak
469,cra,b0313,+,weak
470,cra,b0314,+,weak
471,cra,b0315,-,strong
472,cra,b0331,-,weak
473,cra,b0333,-,weak
474,cra,b0334,-,weak
475,cra,b0335,-,weak
476,cra,b0428,-,weak
477,cra,b0429,-,weak
478,cra,b0430,-,weak
479,cra,b0431,-,weak
480,cra,b0432,-,weak
481,cra,b0733,+,strong
482,cra,b0734,+,strong
483,cra,b0871,+,weak
484,cra,b1037,+,strong
485,cra,b1038,+,strong
486,cra,b1039,+,strong
487,cra,b1040,+,strong
488,cra,b1136,+,strong
489,cra,b1241,-,strong
490,cra,b1276,+,weak
491,cra,b1530,-,weak
492,cra,b1531,-,weak
493,cra,b1532,-,weak
494,cra,b1676,-,strong
495,cra,b1702,+,strong
496,cra,b1779,-,strong
497,cra,b1780,-,strong
498,cra,b1817,-,weak
499,cra,b1818,-,weak
500,cra,b1819,-,weak
501,cra,b1850,-,strong
502,cra,b1851,-,strong
503,cra,b1852,-,weak
504,cra,b2097,-,weak
505,cra,b2167,-,weak
506,cra,b2168,-,weak
507,cra,b2169,-,weak
508,cra,b2388,-,weak
509,cra,b2415,+-,strong
510,cra,b2417,+-,strong
511,cra,b2712,-,strong
512,cra,b2779,-,strong
513,cra,b2925,-,strong
514,cra,b2926,-,strong
515,cra,b2927,-,strong
516,cra,b2980,-,weak
517,cra,b3357,+,strong
518,cra,b3366,-,weak
519,cra,b3367,-,weak
520,cra,b3368,-,weak
521,cra,b3403,+,strong
522,cra,b3600,-,strong
523,cra,b3601,-,strong
524,cra,b3612,-,weak
525,cra,b3613,-,weak
526,cra,b3614,-,weak
527,cra,b3916,-,strong
528,cra,b3919,-,weak
529,cra,b3956,-,weak
530,cra,b4014,+,strong
531,cra,b4015,+,strong
532,cra,b4016,+,strong
533,cra,b4233,-,weak
534,creB,b2464,+,weak
535,creB,b4032,-,weak
536,creB,b4033,-,weak
537,creB,b4034,-,weak
538,creB,b4400,+,strong
539,crp,b0034,+,weak
540,crp,b0035,+,weak
541,crp,b0036,+,weak
542,crp,b0037,+,weak
543,crp,b0038,+,weak
544,crp,b0039,+,weak
545,crp,b0040,+,weak
546,crp,b0041,+,weak
547,crp,b0042,+,weak
548,crp,b0043,+,weak
549,crp,b0044,+,weak
550,crp,b0061,+,strong
551,crp,b0062,+,strong
552,crp,b0063,+,strong
553,crp,b0064,+,strong
554,crp,b0106,+,strong
555,crp,b0107,+,strong
556,crp,b0108,+,strong
557,crp,b0109,+,weak
558,crp,b0110,-,weak
559,crp,b0111,-,weak
560,crp,b0113,+,weak
561,crp,b0114,+,weak
562,crp,b0116,+-,weak
563,crp,b0118,+,weak
564,crp,b0124,-,strong
565,crp,b0125,+,strong
566,crp,b0145,+,weak
567,crp,b0146,+,weak
568,crp,b0189,-,weak
569,crp,b0191,-,weak
570,crp,b0192,-,weak
571,crp,b0330,+,strong
572,crp,b0331,+,strong
573,crp,b0333,+,strong
574,crp,b0334,+,strong
575,crp,b0335,+,strong
576,crp,b0346,+,strong
577,crp,b0347,+,weak
578,crp,b0348,+,weak
579,crp,b0349,+,weak
580,crp,b0350,+,weak
581,crp,b0351,+,weak
582,crp,b0352,+,weak
583,crp,b0396,+-,strong
584,crp,b0411,+-,strong
585,crp,b0428,+,weak
586,crp,b0429,+,weak
587,crp,b0430,+,weak
588,crp,b0431,+,weak
589,crp,b0432,+,weak
590,crp,b0440,+,strong
591,crp,b0583,+,weak
592,crp,b0584,+,weak
593,crp,b0593,+,weak
594,crp,b0594,+,weak
595,crp,b0595,+,weak
596,crp,b0596,+,weak
597,crp,b0597,+,weak
598,crp,b0598,+,strong
599,crp,b0613,-,weak
600,crp,b0614,-,weak
601,crp,b0615,-,weak
602,crp,b0616,-,weak
603,crp,b0617,-,weak
604,crp,b0619,-,weak
605,crp,b0620,-,weak
606,crp,b0623,+,strong
607,crp,b0675,+-,strong
608,crp,b0676,+-,strong
609,crp,b0677,+-,strong
610,crp,b0678,+-,strong
611,crp,b0679,+-,strong
612,crp,b0681,+,weak
613,crp,b0682,+,weak
614,crp,b0683,+,strong
615,crp,b0720,+,weak
616,crp,b0721,+,weak
617,crp,b0722,+,weak
618,crp,b0723,+,weak
619,crp,b0724,+,weak
620,crp,b0726,+,weak
621,crp,b0727,+,weak
622,crp,b0728,+,weak
623,crp,b0729,+,weak
624,crp,b0756,+-,strong
625,crp,b0757,+-,strong
626,crp,b0758,+-,strong
627,crp,b0759,+-,strong
628,crp,b0765,+,weak
629,crp,b0805,+,weak
630,crp,b0819,+-,weak
631,crp,b0820,+-,weak
632,crp,b0880,+,strong
633,crp,b0904,+,strong
634,crp,b0907,-,strong
635,crp,b0908,-,strong
636,crp,b0929,+,weak
637,crp,b0931,-,weak
638,crp,b0953,+,strong
639,crp,b0957,+,weak
640,crp,b0959,+,weak
641,crp,b1015,-,weak
642,crp,b1036,+-,weak
643,crp,b1037,+,weak
644,crp,b1038,+,weak
645,crp,b1039,+,weak
646,crp,b1040,+,weak
647,crp,b1101,+,strong
648,crp,b1111,-,strong
649,crp,b1112,-,strong
650,crp,b1182,+,strong
651,crp,b1189,+-,strong
652,crp,b1190,+-,strong
653,crp,b1205,+,strong
654,crp,b1256,-,strong
655,crp,b1272,-,weak
656,crp,b1276,+,weak
657,crp,b1298,-,weak
658,crp,b1299,-,weak
659,crp,b1300,-,weak
660,crp,b1301,-,weak
661,crp,b1302,-,weak
662,crp,b1384,+,weak
663,crp,b1385,+,weak
664,crp,b1387,+,strong
665,crp,b1388,+,strong
666,crp,b1389,+,strong
667,crp,b1390,+,strong
668,crp,b1391,+,strong
669,crp,b1392,+,strong
670,crp,b1393,+,strong
671,crp,b1394,+,strong
672,crp,b1395,+,strong
673,crp,b1396,+,strong
674,crp,b1397,+,strong
675,crp,b1398,+,strong
676,crp,b1415,+,weak
677,crp,b1492,-,weak
678,crp,b1493,-,weak
679,crp,b1511,+,strong
680,crp,b1512,+,strong
681,crp,b1513,+,strong
682,crp,b1514,+,strong
683,crp,b1515,+,strong
684,crp,b1516,+,strong
685,crp,b1517,+,strong
686,crp,b1518,+,strong
687,crp,b1519,+,strong
688,crp,b1521,+,weak
689,crp,b1530,+,weak
690,crp,b1531,+,weak
691,crp,b1532,+,weak
692,crp,b1593,+,weak
693,crp,b1594,+-,weak
694,crp,b1611,+,strong
695,crp,b1612,+,strong
696,crp,b1613,+-,weak
697,crp,b1615,+,weak
698,crp,b1616,+,weak
699,crp,b1620,+-,strong
700,crp,b1621,+,strong
701,crp,b1622,+,strong
702,crp,b1656,-,weak
703,crp,b1733,+,strong
704,crp,b1734,+,strong
705,crp,b1735,+,strong
706,crp,b1736,+,strong
707,crp,b1738,+,strong
708,crp,b1761,-,weak
709,crp,b1779,+,weak
710,crp,b1805,+,strong
711,crp,b1817,+,weak
712,crp,b1818,+,weak
713,crp,b1819,+,weak
714,crp,b1891,+,strong
715,crp,b1892,+,strong
716,crp,b1900,+,strong
717,crp,b1901,+,strong
718,crp,b2009,+,strong
719,crp,b2091,+,strong
720,crp,b2093,+,strong
721,crp,b2094,+,strong
722,crp,b2095,+,strong
723,crp,b2096,+,strong
724,crp,b2143,+-,strong
725,crp,b2146,+,weak
726,crp,b2147,+,weak
727,crp,b2148,+,strong
728,crp,b2149,+,strong
729,crp,b2150,+,strong
730,crp,b2151,+,weak
731,crp,b2155,+,weak
732,crp,b2231,+,weak
733,crp,b2232,+,weak
734,crp,b2234,+,weak
735,crp,b2235,+,weak
736,crp,b2236,+,weak
737,crp,b2239,+,strong
738,crp,b2240,+,strong
739,crp,b2242,+,strong
740,crp,b2243,+,strong
741,crp,b2344,+,strong
742,crp,b2366,+,weak
743,crp,b2393,+,weak
744,crp,b2415,+-,strong
745,crp,b2417,+-,strong
746,crp,b2428,+,strong
747,crp,b2429,+,strong
748,crp,b2469,-,weak
749,crp,b2481,+,weak
750,crp,b2482,+,weak
751,crp,b2483,+,weak
752,crp,b2484,+,weak
753,crp,b2485,+,weak
754,crp,b2486,+,weak
755,crp,b2487,+,weak
756,crp,b2488,+,weak
757,crp,b2489,+,weak
758,crp,b2490,+,weak
759,crp,b2491,+,weak
760,crp,b2492,+,weak
761,crp,b2508,+,strong
762,crp,b2509,-,strong
763,crp,b2535,+,weak
764,crp,b2570,+,strong
765,crp,b2572,+,strong
766,crp,b2573,+,strong
767,crp,b2579,+,weak
768,crp,b2584,+,weak
769,crp,b2597,+,strong
770,crp,b2614,+,weak
771,crp,b2659,+,strong
772,crp,b2660,+,strong
773,crp,b2661,+,strong
774,crp,b2662,+,strong
775,crp,b2663,+,strong
776,crp,b2702,+,weak
777,crp,b2704,+,weak
778,crp,b2705,+,weak
779,crp,b2706,+,weak
780,crp,b2707,+,weak
781,crp,b2708,+,weak
782,crp,b2716,+,strong
783,crp,b2741,+,strong
784,crp,b2754,-,strong
785,crp,b2755,-,strong
786,crp,b2756,-,strong
787,crp,b2757,-,strong
788,crp,b2758,-,strong
789,crp,b2759,-,strong
790,crp,b2760,-,strong
791,crp,b2782,+,strong
792,crp,b2783,+,strong
793,crp,b2784,+,strong
794,crp,b2799,+,weak
795,crp,b2800,+,weak
796,crp,b2801,+,strong
797,crp,b2802,+,strong
798,crp,b2803,+,strong
799,crp,b2804,+,strong
800,crp,b2805,+,strong
801,crp,b2840,+,strong
802,crp,b2841,+,strong
803,crp,b2903,+,strong
804,crp,b2904,+,strong
805,crp,b2905,+,strong
806,crp,b2913,+,weak
807,crp,b2925,+,strong
808,crp,b2926,+,strong
809,crp,b2927,+,strong
810,crp,b2942,-,weak
811,crp,b2943,+,weak
812,crp,b2957,+,strong
813,crp,b2964,+-,strong
814,crp,b2965,-,weak
815,crp,b2980,+,weak
816,crp,b3049,+,weak
817,crp,b3072,+,strong
818,crp,b3081,+,weak
819,crp,b3092,+,weak
820,crp,b3093,+,weak
821,crp,b3094,-,weak
822,crp,b3113,+,strong
823,crp,b3114,+,strong
824,crp,b3115,+,strong
825,crp,b3116,+,strong
826,crp,b3117,+,strong
827,crp,b3118,+,strong
828,crp,b3132,+,strong
829,crp,b3164,-,strong
830,crp,b3165,-,strong
831,crp,b3166,-,strong
832,crp,b3167,-,strong
833,crp,b3168,-,strong
834,crp,b3169,-,strong
835,crp,b3170,-,strong
836,crp,b3172,+,strong
837,crp,b3212,-,strong
838,crp,b3213,-,strong
839,crp,b3214,-,strong
840,crp,b3222,+,strong
841,crp,b3223,+,strong
842,crp,b3224,+,strong
843,crp,b3225,+,strong
844,crp,b3230,-,strong
845,crp,b3231,-,strong
846,crp,b3236,+,weak
847,crp,b3240,+,weak
848,crp,b3241,+,weak
849,crp,b3242,+,weak
850,crp,b3243,-,weak
851,crp,b3260,+-,strong
852,crp,b3261,+-,strong
853,crp,b3356,+-,strong
854,crp,b3357,+-,strong
855,crp,b3363,+-,strong
856,crp,b3366,-,weak
857,crp,b3367,-,weak
858,crp,b3368,-,weak
859,crp,b3392,+,strong
860,crp,b3393,+,strong
861,crp,b3394,+,strong
862,crp,b3395,+,strong
863,crp,b3403,+-,strong
864,crp,b3404,+-,strong
865,crp,b3405,+-,strong
866,crp,b3413,+,weak
867,crp,b3414,+,weak
868,crp,b3415,+,strong
869,crp,b3418,+,strong
870,crp,b3424,+,strong
871,crp,b3425,+,strong
872,crp,b3426,+,strong
873,crp,b3428,+,strong
874,crp,b3429,+,strong
875,crp,b3430,+,strong
876,crp,b3437,+,weak
877,crp,b3449,+,strong
878,crp,b3450,+,strong
879,crp,b3451,+,strong
880,crp,b3452,+,strong
881,crp,b3461,+-,strong
882,crp,b3512,-,strong
883,crp,b3513,-,strong
884,crp,b3514,-,strong
885,crp,b3516,-,weak
886,crp,b3517,-,weak
887,crp,b3528,+,strong
888,crp,b3564,+,weak
889,crp,b3565,+,weak
890,crp,b3566,+,weak
891,crp,b3567,+,weak
892,crp,b3568,+,weak
893,crp,b3569,+,weak
894,crp,b3571,+,weak
895,crp,b3574,-,strong
896,crp,b3575,+,strong
897,crp,b3576,+,strong
898,crp,b3577,+,strong
899,crp,b3578,+,strong
900,crp,b3579,+,strong
901,crp,b3580,+,strong
902,crp,b3581,+,strong
903,crp,b3582,+,strong
904,crp,b3583,+,strong
905,crp,b3588,+,strong
906,crp,b3600,+,strong
907,crp,b3601,+,strong
908,crp,b3608,+,strong
909,crp,b3609,+,strong
910,crp,b3666,+,strong
911,crp,b3670,+,strong
912,crp,b3672,+,strong
913,crp,b3707,+,weak
914,crp,b3708,+,weak
915,crp,b3709,+,weak
916,crp,b3721,+,strong
917,crp,b3722,+,strong
918,crp,b3723,+,strong
919,crp,b3748,+,weak
920,crp,b3749,+,weak
921,crp,b3750,+,weak
922,crp,b3751,+,weak
923,crp,b3752,+,weak
924,crp,b3753,+,weak
925,crp,b3781,-,strong
926,crp,b3806,-,strong
927,crp,b3831,+-,strong
928,crp,b3868,+-,strong
929,crp,b3869,+-,strong
930,crp,b3902,+,weak
931,crp,b3903,+,weak
932,crp,b3904,+,weak
933,crp,b3905,+,strong
934,crp,b3906,+,strong
935,crp,b3908,+,weak
936,crp,b3925,+,weak
937,crp,b3926,+,weak
938,crp,b3927,+,weak
939,crp,b3934,+-,strong
940,crp,b3961,+,weak
941,crp,b4000,+,strong
942,crp,b4003,+,weak
943,crp,b4004,+,weak
944,crp,b4014,-,weak
945,crp,b4015,-,weak
946,crp,b4016,-,weak
947,crp,b4030,-,strong
948,crp,b4032,+,strong
949,crp,b4033,+,strong
950,crp,b4034,+,strong
951,crp,b4035,+,strong
952,crp,b4036,+,strong
953,crp,b4037,+,strong
954,crp,b4067,+,strong
955,crp,b4068,+,strong
956,crp,b4069,+,strong
957,crp,b4111,+-,strong
958,crp,b4118,+,strong
959,crp,b4119,+,strong
960,crp,b4120,+,strong
961,crp,b4123,+,weak
962,crp,b4124,+,strong
963,crp,b4138,+,weak
964,crp,b4139,+,weak
