,TF,gene_id,effect,ev_level
0,CTP,b0945,-,strong
1,CTP,b1062,-,strong
2,FMN,b3041,-,strong
4,L-tryptophan,b3708,+,strong
5,L-tryptophan,b3709,+,strong
6,TPP,b0066,-,strong
7,TPP,b0067,-,strong
8,TPP,b0068,-,strong
9,TPP,b2103,-,strong
10,TPP,b2104,-,strong
11,TPP,b3990,-,strong
12,TPP,b3991,-,strong
13,TPP,b3992,-,strong
14,TPP,b3993,-,strong
15,TPP,b3994,-,strong
17,UTP,b0032,-,strong
18,UTP,b0033,-,strong
19,UTP,b0336,-,strong
20,UTP,b0337,-,strong
21,UTP,b2497,-,strong
22,UTP,b2498,-,strong
23,UTP,b4244,-,strong
24,UTP,b4245,-,strong
25,acrR,b0463,-,strong
26,acrR,b0464,-,strong
27,acrR,b1530,-,strong
28,acrR,b1531,-,strong
29,acrR,b1532,-,strong
30,acrR,b1891,-,weak
31,acrR,b1892,-,weak
32,acrR,b4062,-,strong
33,acrR,b4063,-,strong
34,ada,b2068,+,strong
35,ada,b2212,+-,strong
36,ada,b2213,+-,strong
37,ada,b4187,+,strong
38,adenosylcobalamin,b3966,-,strong
39,adenosylcobalamin,b3967,-,strong
40,adiY,b1492,+,strong
41,adiY,b1493,+,strong
42,adiY,b3212,+,strong
43,adiY,b3213,+,strong
44,adiY,b3214,+,strong
45,adiY,b3516,+,strong
46,adiY,b3517,+,strong
47,adiY,b4117,+,strong
48,agaR,b3132,-,strong
49,agaR,b3136,-,strong
50,agaR,b3137,-,strong
51,agaR,b3141,-,strong
54,aidB,b4187,-,strong
55,alaS,b2697,-,strong
56,allR,b0504,-,strong
57,allR,b0505,-,strong
58,allR,b0507,-,strong
59,allR,b0508,-,strong
60,allR,b0509,-,strong
61,allR,b0512,-,strong
62,allR,b0513,-,strong
63,allR,b0514,-,strong
64,allS,b0515,+,weak
65,allS,b0516,+,weak
66,allS,b0517,+,weak
67,alsR,b4085,-,weak
68,alsR,b4086,-,weak
69,alsR,b4087,-,weak
70,alsR,b4088,-,weak
71,alsR,b4089,-,weak
72,alsR,b4090,-,weak
73,appY,b0972,+,weak
74,appY,b0973,+,weak
75,appY,b0974,+,weak
76,appY,b0975,+,weak
77,appY,b0976,+,weak
78,appY,b0977,+,weak
79,appY,b0978,+,weak
80,appY,b0979,+,weak
81,appY,b0980,+,weak
82,araC,b0061,+-,strong
83,araC,b0062,+-,strong
84,araC,b0063,+-,strong
85,araC,b0064,+-,strong
86,araC,b0396,+,strong
87,araC,b1497,-,weak
88,araC,b1498,-,weak
89,araC,b1900,+,strong
90,araC,b1901,+,strong
91,araC,b2840,+,strong
92,araC,b2841,+,strong
93,araC,b3564,-,weak
94,araC,b3565,-,weak
95,araC,b4460,+,strong
96,arcA,b0035,+,weak
97,arcA,b0036,+,weak
98,arcA,b0037,+,weak
99,arcA,b0038,+,weak
100,arcA,b0039,+,weak
101,arcA,b0040,+,weak
102,arcA,b0114,-,weak
103,arcA,b0116,-,strong
104,arcA,b0118,-,weak
105,arcA,b0221,-,strong
106,arcA,b0311,-,weak
107,arcA,b0312,-,weak
108,arcA,b0313,-,weak
109,arcA,b0314,-,weak
110,arcA,b0428,-,weak
111,arcA,b0429,-,weak
112,arcA,b0430,-,weak
113,arcA,b0431,-,weak
114,arcA,b0432,-,weak
115,arcA,b0564,+,weak
116,arcA,b0602,+,weak
117,arcA,b0613,-,weak
118,arcA,b0614,-,weak
119,arcA,b0615,-,weak
120,arcA,b0616,-,weak
121,arcA,b0617,-,weak
122,arcA,b0619,+,weak
123,arcA,b0620,+,weak
124,arcA,b0621,+,weak
125,arcA,b0720,-,weak
126,arcA,b0721,+-,strong
127,arcA,b0722,+-,strong
128,arcA,b0723,+-,strong
129,arcA,b0724,+-,strong
130,arcA,b0726,+-,strong
131,arcA,b0727,+-,strong
132,arcA,b0728,+-,strong
133,arcA,b0729,+-,strong
134,arcA,b0733,+,strong
135,arcA,b0734,+,strong
136,arcA,b0826,+,strong
137,arcA,b0827,+,strong
138,arcA,b0886,+,weak
139,arcA,b0887,+,weak
140,arcA,b0904,+,strong
141,arcA,b0972,+,strong
142,arcA,b0973,+,strong
143,arcA,b0974,+,strong
144,arcA,b0975,+,strong
145,arcA,b0976,+,strong
146,arcA,b0977,+,strong
147,arcA,b0978,+,weak
148,arcA,b0979,+,weak
149,arcA,b0980,+,weak
150,arcA,b1006,+,weak
151,arcA,b1007,+,weak
152,arcA,b1008,+,weak
153,arcA,b1009,+,weak
154,arcA,b1010,+,weak
155,arcA,b1011,+,weak
156,arcA,b1012,+,weak
157,arcA,b1101,-,strong
158,arcA,b1109,-,weak
159,arcA,b1136,-,strong
160,arcA,b1160,+,weak
161,arcA,b1210,+,weak
162,arcA,b1211,+,weak
163,arcA,b1212,+,weak
164,arcA,b1243,-,weak
165,arcA,b1244,-,weak
166,arcA,b1245,-,weak
167,arcA,b1246,-,weak
168,arcA,b1247,-,weak
169,arcA,b1256,-,strong
170,arcA,b1276,-,weak
171,arcA,b1296,-,weak
172,arcA,b1298,-,weak
173,arcA,b1299,-,weak
174,arcA,b1300,-,weak
175,arcA,b1301,-,weak
176,arcA,b1302,-,weak
177,arcA,b1324,-,weak
178,arcA,b1334,-,weak
179,arcA,b1415,-,strong
180,arcA,b1528,-,weak
181,arcA,b1611,-,weak
182,arcA,b1612,-,weak
183,arcA,b1805,-,strong
184,arcA,b2091,-,weak
185,arcA,b2093,-,weak
186,arcA,b2094,-,weak
187,arcA,b2095,-,weak
188,arcA,b2096,-,weak
189,arcA,b2242,-,weak
190,arcA,b2243,-,weak
191,arcA,b2276,-,strong
192,arcA,b2277,-,strong
193,arcA,b2278,-,strong
194,arcA,b2279,-,strong
195,arcA,b2280,-,strong
196,arcA,b2281,-,strong
197,arcA,b2282,-,strong
198,arcA,b2283,-,strong
199,arcA,b2284,-,strong
200,arcA,b2285,-,strong
201,arcA,b2286,-,strong
202,arcA,b2287,-,strong
203,arcA,b2288,-,strong
204,arcA,b2296,+,weak
205,arcA,b2341,-,strong
206,arcA,b2342,-,strong
207,arcA,b2344,-,strong
208,arcA,b2579,+,weak
209,arcA,b2741,-,strong
210,arcA,b2975,-,strong
211,arcA,b2976,-,strong
212,arcA,b2977,-,strong
213,arcA,b2979,-,strong
214,arcA,b2990,-,weak
215,arcA,b2991,-,weak
216,arcA,b2992,-,weak
217,arcA,b2993,-,weak
218,arcA,b2994,-,weak
219,arcA,b2995,-,weak
220,arcA,b2996,-,weak
221,arcA,b2997,-,weak
222,arcA,b3081,-,weak
223,arcA,b3236,-,weak
224,arcA,b3311,-,weak
225,arcA,b3312,-,weak
226,arcA,b3313,-,weak
227,arcA,b3314,-,weak
228,arcA,b3315,-,weak
229,arcA,b3316,-,weak
230,arcA,b3317,-,weak
231,arcA,b3318,-,weak
232,arcA,b3319,-,weak
233,arcA,b3320,-,weak
234,arcA,b3321,-,weak
235,arcA,b3426,-,weak
236,arcA,b3512,+,strong
237,arcA,b3516,+,weak
238,arcA,b3517,+,weak
239,arcA,b3528,-,weak
240,arcA,b3569,+,weak
241,arcA,b3603,-,strong
242,arcA,b3604,-,strong
243,arcA,b3605,-,strong
244,arcA,b3845,-,strong
245,arcA,b3846,-,strong
246,arcA,b3908,-,weak
247,arcA,b4014,-,weak
248,arcA,b4015,-,weak
249,arcA,b4016,-,weak
250,arcA,b4040,-,weak
251,arcA,b4058,-,strong
252,arcA,b4059,-,strong
253,arcA,b4131,-,weak
254,arcA,b4132,-,weak
255,arcA,b4239,+,weak
256,arcA,b4240,+,weak
257,arcA,b4468,-,strong
258,arcZ,b2741,+,weak
259,argP,b0031,+,strong
260,argP,b0166,+,strong
261,argP,b1761,+,strong
262,argP,b2156,+,strong
263,argP,b2234,+,strong
264,argP,b2235,+,strong
265,argP,b2236,+,strong
266,argP,b2838,+,strong
267,argP,b2916,-,weak
268,argP,b2923,+,strong
269,argP,b3700,+,strong
270,argP,b3701,+,strong
271,argP,b3702,+,strong
272,argP,b4024,+,strong
273,argR,b0032,-,strong
274,argR,b0033,-,strong
275,argR,b0273,-,strong
276,argR,b0860,-,strong
277,argR,b0861,-,strong
278,argR,b0862,-,strong
279,argR,b0863,-,strong
280,argR,b0864,-,strong
281,argR,b0874,-,strong
282,argR,b1744,+,strong
283,argR,b1745,+,strong
284,argR,b1746,+,strong
285,argR,b1748,+,strong
286,argR,b2306,-,strong
287,argR,b2307,-,strong
288,argR,b2308,-,strong
289,argR,b2309,-,strong
290,argR,b2818,-,strong
291,argR,b3164,-,strong
292,argR,b3165,-,strong
293,argR,b3166,-,strong
294,argR,b3167,-,strong
295,argR,b3168,-,strong
296,argR,b3169,-,strong
297,argR,b3170,-,strong
298,argR,b3172,-,strong
299,argR,b3212,-,strong
300,argR,b3213,-,strong
301,argR,b3214,-,strong
302,argR,b3237,-,strong
303,argR,b3359,-,strong
304,argR,b3957,-,strong
305,argR,b3958,-,strong
306,argR,b3959,-,strong
307,argR,b3960,-,strong
308,argR,b4254,-,strong
309,arsR,b3501,-,strong
310,arsR,b3502,-,strong
311,ascG,b0330,-,strong
312,ascG,b0473,-,strong
313,ascG,b0820,-,strong
314,ascG,b2716,-,strong
315,asnC,b3741,-,weak
316,asnC,b3742,-,weak
317,asnC,b3743,-,weak
318,asnC,b3744,+,weak
319,atoC,b2221,+,strong
320,atoC,b2222,+,strong
321,atoC,b2223,+,strong
322,atoC,b2224,+,strong
323,bCCP,b3255,-,weak
324,bCCP,b3256,-,weak
325,baeR,b1743,+,strong
326,baeR,b2074,+,strong
327,baeR,b2075,+,strong
328,baeR,b2076,+,strong
329,baeR,b2077,+,strong
330,baeR,b2078,+,strong
331,baeR,b2079,+,strong
332,baeR,b2470,+,strong
333,basR,b0460,+,strong
334,basR,b0461,+,strong
335,basR,b1014,-,strong
336,basR,b1037,+,strong
337,basR,b1038,+,strong
338,basR,b1039,+,strong
339,basR,b1040,+,strong
340,basR,b1552,+,strong
341,basR,b3025,+,strong
342,basR,b3026,+,strong
343,basR,b3207,-,strong
344,basR,b4042,+,strong
345,basR,b4312,+,strong
