"","ppgpp__t0__1","ppgpp__t0__2","ppgpp__t0__3","ppgpp__t5__1","ppgpp__t5__2","ppgpp__t5__3"
"b0001",2570.93569567003,2274.85409698474,2711.8317614976,4459.64015886215,4346.04346529451,3857.80437800906
"b0002",421.179739265627,428.077845210159,445.262042692641,854.708083618372,799.561083668116,830.406754620472
"b0003",336.149044965947,318.60547658601,294.162392530994,767.306583108126,671.012005295394,668.206396420979
"b0004",389.353250946336,369.886755873228,370.078573973262,875.383566885782,835.319854160359,808.208868353001
"b0005",54.7195153839177,62.9329352587016,61.5965615172705,72.4347948217176,67.5308861926803,68.1446200545788
"b0006",76.5184556333643,72.8489684896811,67.1217332025212,120.479417099591,115.783766925533,111.099402309007
"b0007",4.24759207051494,3.54542856510834,4.59264536810946,7.04532624518376,7.45680803529938,6.54504623214368
"b0008",927.458724006356,884.456497597539,899.159070502106,1605.89654943026,1698.69871006313,1705.58894175085
"b0009",77.7814309548097,70.8933385263768,63.3285331452358,77.4782819565507,74.608982264641,70.3689392447282
"b0010",100.251828430853,112.004562195113,104.034954714471,12.3922050234644,19.2815982422331,17.7842938542583
"b0011",2.1720167278598,3.47793032469369,2.74571262587736,4.10184874902551,3.25494952145111,3.78687119370899
"b0013",1.27503445026253,0.255205273209769,0.96708597413907,0.577895932128717,0,0.512999792251218
"b0014",1124.8665698713,1150.60508254563,1221.41193778337,1692.29020019702,1715.95266617562,1930.6428896832
"b0015",328.798945683689,323.288268675462,314.941970136413,264.679399967596,253.118669928496,239.740392311974
"b0016",63.1977578148077,69.3855945499838,73.1347916439371,57.2874358858514,55.0546747656151,58.1458094868872
"b0018",1.22669191186395,1.47317546336255,1.86083841469413,2.22394074354748,0.648812073553817,0.987099126322249
"b0019",92.8515455787499,86.3148807519184,88.6626573850573,56.6476550182201,63.0580898678786,65.0868486418733
"b0020",31.5335559769172,37.2413992733761,33.5494599518036,48.8911427298401,49.5071510325386,48.6823794031388
"b0021",3.8440395059895,1.64139946016897,3.30436999678607,3.25223809724716,1.626526901226,2.06215758073262
"b0022",9.81132104958332,8.97732917745844,11.339694021674,9.74078017006852,12.8497582509612,12.0304933229744
"b0023",9426.85654464862,10102.4962368784,9777.39977131151,5365.40390781966,5753.38880501369,5472.99345530789
"b0024",3.52952718277218,2.35484865734468,5.35413962046085,4.79916303635984,6.22269761453888,6.15366568977711
"b0025",181.566663453106,174.263795020298,165.923443098552,250.549447172183,244.183141599572,223.628196818313
"b0026",351.003003119477,337.497110125529,317.746083390278,577.239288134865,535.015086670038,503.178158187507
"b0027",237.175687503623,222.267328109372,193.547829425127,338.930138629661,311.335612908058,296.250140108656
"b0028",186.519729170888,184.712031268793,184.347815387412,234.365631206516,237.373148027776,220.977788559726
"b0029",171.149936814468,146.495332859855,144.248695061751,193.960571455496,176.301050482503,167.256792560377
"b0030",37.0163658688116,43.0968153839807,40.9353978987927,42.391442540966,36.0182781138484,33.3108238464085
"b0031",107.872872098821,97.9479699127864,95.8930959970752,196.709315220582,188.465322891854,172.215214583892
"b0032",29.7094114167258,35.318634471201,34.2276954577577,31.5214592475113,29.9988135434813,33.5055777356426
"b0033",26.3811076118467,24.3682632391436,23.3596421438764,35.4158940794701,31.8568137263083,28.5954010787753
"b0034",4.88977317512519,8.35170506181692,4.69779672828009,16.2524133053328,16.5520621686475,18.6243476214529
"b0035",0.874432410146261,1.2251577474023,1.32647603209616,1.58530911110986,2.08124008053834,2.11092482081751
"b0036",0.493326543970699,2.10649740123336,0.873080793679554,1.78876047098546,0.347901772604461,2.11718338657174
"b0037",3.66193173946781,4.9307956452182,4.22936859622684,4.52654177062879,4.31387011477358,3.9512530622462
"b0038",4.88362251704327,4.92992106115146,5.2340850815279,5.2930337015727,4.37988068357207,4.27149129725173
"b0039",7.35318163077538,8.96653911835091,7.03588860381073,10.1520756538381,8.73571011271804,8.64790296640275
"b0040",0.341467009766878,0.615118778567609,0.517990640501929,1.00598111140349,0.632120997782973,0.961705415288893
"b0041",1.34109841141603,2.013212582704,1.39864182658843,1.82351617961859,0.88665380518041,1.75363530019555
"b0042",0.686192983571827,1.09876289420113,0.624554992842729,0.995231170495266,1.88726566040097,0.662602064646855
"b0043",0.703347808161123,0.804451404682967,1.066948112773,1.36622136128256,1.06288313291813,1.29365165002481
"b0044",0.89561243392143,1.43409468405766,0.67930260467208,0,0.473700164428565,1.08102724387887
"b0045",1.1650352291221,0.544106066363213,0.736378292386463,0.616046601316509,0.924301671176818,1.48435123684392
"b0046",12.6496838881309,10.7119055465679,9.96353049672226,22.271805068487,17.4984128408838,15.8557435789225
"b0047",11.3863859758959,10.3390994698009,9.63687683832948,20.8318462272129,19.5360656868463,18.1014068325897
"b0048",204.482655911126,195.809827233177,173.666323586743,90.4845661879627,88.5149627415281,98.0768147518291
"b0049",29.5939423737178,32.7781540598168,31.9831602525554,39.8919370873829,42.3349877993865,36.3992802831329
"b0050",169.026169834604,155.830090570461,147.109341902548,145.480345341427,132.203591536325,134.638758140445
"b0051",206.15355003142,224.852280545291,214.447495774554,181.457216141884,174.82529069668,143.871196900724
"b0052",76.0041474070215,92.8442449442699,95.6829593121712,103.107480774445,92.1411350108411,88.5864192211491
"b0053",222.358385637224,228.625089210899,225.202262374586,274.428330769624,273.267253473252,267.058212501997
"b0054",168.086990622682,165.974850867584,182.861139456869,219.588189864003,220.340545753519,238.511806636026
"b0055",69.2225098636715,68.9910128056332,58.7513607067705,72.3692639020236,71.3820343249185,66.2818336230583
"b0058",140.967500189388,140.450156531251,139.591032969151,26.0892473686128,25.8886814523176,26.152900150199
"b0059",119.358219791546,115.692062578239,117.298250224734,13.6354028497523,13.7464269173995,15.4704366510532
"b0060",11.990092342099,11.5370570853674,10.0954240470795,15.1564444383882,13.1488536079419,13.5871908427064
"b0061",0.185675748495906,0.59462462509708,0.704155138989351,0.841555769168791,1.76771036969684,1.19528215583354
"b0062",1.72095740294743,1.24005328232513,0.71791987375417,2.96402208805912,1.91149354914692,1.80027453690288
"b0063",0.684338407940552,0.547896632378669,0.634401580567727,0.827117797100796,0.884778391726445,0.978979627045803
"b0064",23.5301812184812,24.9613957678537,25.432163197189,47.7250101949118,48.2259065126763,50.1760433166442
"b0065",41.0549441233683,38.685921023532,35.7525119564716,24.0445447165461,28.4164441979856,23.7915373625647
"b0066",7.2103198162346,6.80887668923663,6.17000851500726,6.03323353142381,5.28040340433728,3.12416873480992
"b0067",5.29866984014186,7.00611300286917,5.11499690788443,3.27486311414133,2.97238037419041,3.35932122022572
"b0068",20.8905009904181,21.4590066480466,20.0304614227393,15.6020167747198,13.8984109157214,13.744227936558
"b0069",12.340209703597,14.3195262953561,15.5206501570792,31.0804778415901,26.2727776169668,24.3221343868726
"b0070",21.6058909747664,20.2836286044503,20.9628178360416,33.8020146063763,30.8603613900691,32.4772343053687
"b0071",146.685676656891,166.088600853774,179.500397489915,285.261618372098,327.701403535996,312.760000195414
"b0072",75.6003575596638,91.1974769609037,85.8368127930754,162.330225385828,143.832196074712,150.340407019859
"b0073",106.445545320019,121.056025945913,118.276030316585,177.95493637721,156.689006173229,161.019980537626
"b0074",70.5082702945398,80.3612688660284,82.7457941343949,65.0329474390953,52.479533728209,59.3850255377092
"b0075",51.4722714154276,76.5325813637023,62.4649622387099,81.3191514494307,102.674510639891,72.1872321300777
"b0076",4.24090475449371,3.61441886941277,2.59405989363413,11.4088630321733,12.8795369231154,10.2377622388063
"b0077",12.7466508918192,15.5480042289108,11.7722826533308,43.6354955102011,40.5304557257509,42.2951387234792
"b0078",19.4255248598821,14.5016643482727,12.5436739586862,59.9652014279445,55.2595743538564,54.9211542292481
"b0080",80.5312265757762,83.7352347619623,73.6682066731732,124.193052730187,118.255997012678,113.97315364565
"b0081",183.99578661495,200.244043653684,193.757777279576,272.879946560171,274.691516871362,281.401575171647
"b0082",160.431919559093,133.939196803117,139.900318396771,232.635286103269,212.099625372756,197.455415264763
"b0083",107.20017165477,124.223079035948,125.708001079848,198.50489071374,194.344850293855,183.023508987502
"b0084",83.3737671058685,85.3872385322698,81.5032490490213,122.223028459934,121.025837202225,118.923391319405
"b0085",143.148520193158,132.491471536406,125.912775269624,217.607896978859,192.983029176747,181.211578058932
"b0086",130.17726727048,124.793126788343,117.285840337914,207.971573345261,183.40486116263,169.455524758195
"b0087",124.759886119207,118.33331740118,108.482244647037,138.199760499686,146.371165844569,136.322122838108
"b0088",126.077496028008,116.820504257834,106.649478125315,134.580474828422,143.546963787891,124.682303073598
"b0089",126.092311393097,118.415246769333,112.103193524711,107.70941260844,123.604948603401,104.389693680513
"b0090",105.445587583849,95.9562277960098,86.4058297651859,80.6594598253183,72.7397842762187,67.7049351634828
"b0091",111.979447383009,100.947594846605,91.8456674681176,86.654262543225,80.1746348034359,79.814015071199
"b0092",143.452438860177,153.846706858801,148.835790100229,157.265414900816,167.634884327458,165.470252946368
"b0093",130.660381285316,120.799207566672,117.979839393168,128.451957231202,138.709314854853,134.053874798935
"b0094",150.507527809668,151.075464653002,142.501724998684,212.351152072969,210.547730679271,207.865973573983
"b0095",456.491637975366,492.635156063137,459.552041607002,750.578554324935,743.388390998972,708.289425220566
"b0096",1188.26134947606,1232.31100793276,1155.37361447184,1339.07731293813,1333.83760358301,1364.23167930274
"b0097",230.380616696511,237.464038146867,230.311336592197,243.070449506942,245.300192734994,204.023211151335
"b0098",233.206956745708,230.651641079793,231.564395874211,234.279053581394,235.262565446017,229.513491834454
"b0099",38.7255028493418,32.5944780909193,42.9289711256899,43.2047414015004,38.5138829339746,44.212447568495
"b0101",132.017323268514,123.398803008997,147.485470784721,147.967494621882,154.785694431997,152.806912992378
"b0102",105.791063075574,119.46826825906,126.750571507196,116.368072550542,113.194628284874,111.547501135495
"b0103",75.5273421265237,81.9578195083565,82.062375747685,83.9296286637422,88.4783564356621,73.332578019654
