"","ppgpp__t0__1","ppgpp__t0__2","ppgpp__t0__3","ppgpp__t5__1","ppgpp__t5__2","ppgpp__t5__3"
"b0001",0.0331671645529514,-0.143279337165115,0.110112172612165,0.827563362320166,0.790347113075427,0.618466500486933
"b0002",-0.0344719416139334,-0.0110898742834866,0.0455618158974183,0.984789433454576,0.888682200216047,0.943225183034313
"b0003",0.0896573256560966,0.0125629443891508,-0.102220270045249,1.27795292987592,1.08475782122589,1.07872204970877
"b0004",0.0489523720420149,-0.0248491617069391,-0.0241032103350758,1.21573451977287,1.14822690007101,1.10068421813469
"b0005",-0.122092440673393,0.0762841807540555,0.0458082599193368,0.276188650852234,0.17647919208504,0.1893418528205
"b0006",0.0854622487740553,0.0155001897258673,-0.100962438499923,0.733562405893954,0.676690266737606,0.617629100821066
"b0007",0.0384546573305755,-0.168784591772908,0.130329934442333,0.654950007801637,0.726912313740618,0.562328823959492
"b0008",0.0376913838812794,-0.0307249613485183,-0.00696642253275925,0.829058756885155,0.910060740067998,0.915897309178121
"b0009",0.14146478384266,0.00946726211780291,-0.150932045960462,0.135902620589555,0.0821667973348088,-0.00109450799756505
"b0010",-0.0704515401706169,0.087981517029152,-0.017529976858536,-2.98893407621343,-2.39015625092867,-2.50080071313581
"b0011",-0.245757180365606,0.251674520861498,-0.00591734049589188,0.43986256940994,0.17798445703104,0.347925426607638
"b0013",0.355931150484307,-0.502033923053538,0.146102772569231,-0.171955183753713,-0.829957241353005,-0.232545451893634
"b0014",-0.0504349602565277,-0.017824758015502,0.0682597182720315,0.538358427713193,0.558379447638934,0.728357582895823
"b0015",0.0287457132578908,0.00443576091921649,-0.033181474177109,-0.283154703796818,-0.347338700327971,-0.425362850628733
"b0016",-0.113461710479489,0.0192955694375527,0.0941661410419368,-0.252799683166789,-0.309149927003938,-0.231708664369294
"b0018",-0.170999564748737,-0.0195369257743701,0.190536490523108,0.362923703761009,-0.604474549150617,-0.335237680285615
"b0019",0.0566754006885235,-0.0474775553651696,-0.00919784532335388,-0.646443179989109,-0.494324323957119,-0.449341901009587
"b0020",-0.106647144225596,0.126559648853817,-0.0199125046282207,0.510208049461692,0.52791200124396,0.504158604770068
"b0021",0.348438889906642,-0.526469243698589,0.178030353791947,0.16045063932426,-0.534615380363378,-0.313223214373768
"b0022",-0.0249821875842717,-0.140799427659213,0.165781615243484,-0.0344262171413821,0.332335787856696,0.244366697862223
"b0023",-0.0508404943539045,0.0490124068492186,0.00182808750468411,-0.863814656308067,-0.763107598393665,-0.835176591073518
"b0024",-0.0184078511109553,-0.451520627129392,0.469928478240347,0.338076385729606,0.654769459058851,0.640914386138297
"b0025",0.0627107069971409,0.00381535603564753,-0.0665260630327884,0.525129371776137,0.488147137783074,0.361826388484272
"b0026",0.0665414475541457,0.0100972272963826,-0.0766386748505301,0.782620345489811,0.673227317582949,0.584887329932178
"b0027",0.128385090996106,0.035131087093256,-0.163516178089361,0.641597216384095,0.519456014374126,0.448036427678239
"b0028",0.0102607963262349,-0.00371431226925001,-0.00654648405698399,0.338122074203796,0.356440135066745,0.253633730596879
"b0029",0.156045598652893,-0.0669507481991278,-0.0890948504537645,0.335562332180669,0.198581031285246,0.123044695167235
"b0030",-0.118533921108048,0.0955199230437751,0.0230139980642736,0.0722560022008887,-0.156916756344998,-0.266490779647283
"b0031",0.102027084514146,-0.035875424036834,-0.0661516604773116,0.962763408947982,0.901316384277939,0.771948219263415
"b0032",-0.146686112079286,0.095342986724555,0.0513431253547321,-0.0639749806311718,-0.133153975173194,0.0214626149398516
"b0033",0.0929479739767629,-0.0172080801778893,-0.0757398937988736,0.504335433250631,0.355959749174283,0.205140175171041
"b0034",-0.206403144944842,0.460614210731011,-0.254211065786169,1.34411105872803,1.36895341620782,1.52995757020407
"b0035",-0.186382110366165,0.0610717012024189,0.125310409163746,0.277500870895004,0.53067518199397,0.544507615835361
"b0036",-0.461214210953002,0.595544964019812,-0.134330753066809,0.439880142018819,-0.609028518399561,0.600499149084881
"b0037",-0.171002221530778,0.176295560296631,-0.00529333876585358,0.0744468954058122,0.0178328628781235,-0.0841364136413256
"b0038",-0.0315937889943991,-0.0202855779531075,0.0518793669475066,0.0654571913483442,-0.16072430109773,-0.190087321818083
"b0039",-0.0662995214237334,0.188467285966915,-0.122167764543182,0.350615018614903,0.154660881851787,0.141590067804175
"b0040",-0.148726670639164,0.119102021080066,0.0296246495590973,0.431769775422481,0.134209769931763,0.399570165709426
"b0041",-0.133049680510427,0.231067196942397,-0.0980175164319697,0.137257636448443,-0.44440554459249,0.101102235239503
"b0042",-0.0873481492047954,0.228421378354787,-0.141073229149992,0.155438098614937,0.688586047252771,-0.107674902125047
"b0043",-0.120772120992626,-0.0375848804920027,0.158357001484629,0.353439873568099,0.155516920220788,0.308501126334711
"b0044",-0.0619731509111486,0.298748108542818,-0.236774957631669,-0.984637180118353,-0.425194153171107,0.0726586721974
"b0045",0.268642617614661,-0.218976026504498,-0.0496665911101624,-0.153279081707824,0.0985871041015526,0.467121272935501
"b0046",0.1790156014151,-0.0418761150389004,-0.137139486376199,0.948731178296616,0.617549554318965,0.483388333307948
"b0047",0.115709977835887,-0.0117392616147871,-0.1039707162211,0.933388807839779,0.845114485364412,0.740633567433089
"b0048",0.0988765049446858,0.0366621388976238,-0.135538643842309,-1.06853984052578,-1.09993936193485,-0.953520728305405
"b0049",-0.0837760239242504,0.059068438255661,0.0247075856685894,0.334794355939876,0.418510248155935,0.205988456670533
"b0050",0.105216201151424,-0.0113382248329197,-0.0938779763185051,-0.109833519343905,-0.246907634915209,-0.220771136146451
"b0051",-0.0604382408286099,0.0642406963659496,-0.00380245553733971,-0.243580574792953,-0.296996182553975,-0.576367996418242
"b0052",-0.20455253481784,0.0807795880212563,0.123772946796584,0.23051314833098,0.0699297772465322,0.0137913591095806
"b0053",-0.0193909339023097,0.0205289285703705,-0.00113799466805986,0.282925610562219,0.276831026589945,0.243794982376152
"b0054",-0.0342386944125099,-0.0523735332850546,0.0866122276975654,0.349351193149383,0.354263393112553,0.468092415799895
"b0055",0.0792419567553031,0.0744780801374079,-0.15372003689271,0.142484206395126,0.122940051189795,0.0175254191195124
"b0058",0.00644101501025851,0.00117408868227997,-0.00761510369253848,-2.38332746832827,-2.39404876834102,-2.37994148164864
"b0059",0.0231780599253222,-0.0214501813096843,-0.00172787861563872,-3.01662225063251,-3.0057192785966,-2.84620590497177
"b0060",0.0928866111748641,0.0416736583064816,-0.134560269481346,0.407584662701856,0.216160090073985,0.260177004866592
"b0061",-0.316951494394665,0.110555834686919,0.206395659707745,0.318264069463614,0.906031959740277,0.571745360170436
"b0062",0.314677648223237,0.0340963260002751,-0.348773974223513,0.857528278531717,0.412322699363786,0.356131551984901
"b0063",0.0550974716345243,-0.066775421808428,0.0116779501739037,0.172485095550844,0.217310350235027,0.28767220619761
"b0064",-0.0631822216018101,0.0186278357817518,0.0445543858200583,0.92692237379329,0.941677660566424,0.997728495958428
"b0065",0.0926935637015172,0.00904543274760261,-0.10173899644912,-0.655085469765826,-0.422958987935071,-0.669734116916149
"b0066",0.0892623258392766,0.0169389364032,-0.106201262242477,-0.133987973161749,-0.297318864878486,-0.904072734657909
"b0067",-0.101119788783517,0.244934999219721,-0.143815210436204,-0.660288755631723,-0.766163205326756,-0.632063465876414
"b0068",0.00694510729758235,0.0439342539759648,-0.0508793612735481,-0.392001357923497,-0.548201406282787,-0.563209585990399
"b0069",-0.169359820236914,0.0302305218607501,0.139129298376163,1.0965544654076,0.862320474502442,0.755257848137234
"b0070",0.0428634206852045,-0.0440912255123989,0.0012278048271952,0.665335463105045,0.53792727176226,0.609344986134897
"b0071",-0.155851833948668,0.0222315663850905,0.133620267563578,0.798952501824395,0.998395870064863,0.931279694950268
"b0072",-0.149443931052414,0.117932213466891,0.0315117175855217,0.942924833655606,0.769515385332825,0.832930267651485
