"","ppgpp__t0__1","ppgpp__t0__2","ppgpp__t0__3","ppgpp__t5__1","ppgpp__t5__2","ppgpp__t5__3"
"b0001",11.3286388570722,11.1521923553542,11.4055838651314,12.1230350548394,12.0858188055947,11.9139381930062
"b0002",8.72171353406287,8.74509560139332,8.80174729157422,9.74097490913138,9.64486767589285,9.69941065871112
"b0003",8.3972427007587,8.32014831949175,8.20536510505735,9.58553830497852,9.39234319632849,9.38630742481137
"b0004",8.60863647457527,8.53483494082631,8.53558089219818,9.77541862230612,9.70791100260426,9.66036832066794
"b0005",5.80011080515497,5.99848742658242,5.9680115057477,6.1983918966806,6.09868243791341,6.11154509864887
"b0006",6.27646792373787,6.20650586468968,6.09004323646389,6.92456808085777,6.86769594170142,6.80863477578488
"b0007",2.39165557423969,2.1844163251362,2.48353085135144,3.00815092471075,3.08011323064973,2.9155297408686
"b0008",9.85869396423808,9.79027761900828,9.81403615782404,10.650061337242,10.7310633204248,10.7368998895349
"b0009",6.29978371662047,6.16778619489561,6.00738688681734,6.29422155336736,6.24048573011262,6.15722442478024
"b0010",6.66180415055526,6.82023720775503,6.71472571386734,3.74332161451245,4.3420994397972,4.23145497759007
"b0011",1.66540037921867,2.16283208044578,1.90524021908839,2.35102012899422,2.08914201661532,2.25908298619192
"b0013",1.18588839183731,0.327923318299466,0.976060013922236,0.658002057599291,0,0.597411789459371
"b0014",10.1368201437042,10.1694303459453,10.2555148222328,10.725613531674,10.7456345515997,10.9156126868566
"b0015",8.36544297648417,8.3411330241455,8.30351578904917,8.05354255942946,7.98935856289831,7.91133441259755
"b0016",6.00445100522643,6.13720828514347,6.21207885674785,5.86511303253913,5.80876278870198,5.88620405133662
"b0018",1.15490195867628,1.30636459765065,1.51643801394813,1.68882522718603,0.721426974274404,0.990663843139406
"b0019",6.55230859892526,6.44815564287157,6.48643535291338,5.84919001824763,6.00130887427962,6.04629129722715
"b0020",5.02385661508025,5.25706340815966,5.11059125467762,5.64071180876753,5.6584157605498,5.63466236407591
"b0021",2.2762106311063,1.40130249750107,2.1058020949916,2.08822238052392,1.39315636083628,1.61454852682589
"b0022",3.43447091354155,3.31865367346661,3.62523471636931,3.42502688398444,3.79178888898252,3.70381979898805
"b0023",13.2027140912032,13.3025669924063,13.2553826730618,12.3897399292491,12.4904469871635,12.4183779944836
