,arcA_fnr__nitrate_delarcA__1,arcA_fnr__nitrate_delarcA__2,arcA_fnr__nitrate_delarcA__3,arcA_fnr__nitrate_delfnr__1,arcA_fnr__nitrate_delfnr__2,arcA_fnr__nitrate_delfnr__3,arcA_fnr__nitrate_wt__1,arcA_fnr__nitrate_wt__2,arcA_fnr__nitrate_wt__3,ec_diffexp__glucose__1,ec_diffexp__glucose__2,ec_diffexp__glucose__3,ec_diffexp__acetate__1,ec_diffexp__acetate__2,ec_diffexp__acetate__3,ec_diffexp__fructose__1,ec_diffexp__fructose__2,ec_diffexp__fructose__3,rpoC__del27__1,rpoC__del27__2,rpoC__del27__3,rpoC__eBOP42__1,rpoC__eBOP42__2,rpoC__eBOP42__3,rpoC__eBOP43__1,rpoC__eBOP43__2,rpoC__eBOP43__3,rpoC__wt__1,rpoC__wt__2,rpoC__wt__3,arcA_ygiN__aero_wt__1,arcA_ygiN__aero_wt__2,arcA_ygiN__aero_wt__3,arcA_ygiN__anaero_wt__1,arcA_ygiN__anaero_wt__2,arcA_ygiN__anaero_wt__3,arcA_ygiN__aero_ECOM4__1,arcA_ygiN__aero_ECOM4__2,arcA_ygiN__aero_ECOM4__3,arcA_ygiN__anaero_ECOM4__1,arcA_ygiN__anaero_ECOM4__2,arcA_ygiN__anaero_ECOM4__3,purR__wt__1,purR__wt__2,purR__delpurR__1,purR__delpurR__2,purR__adenine_wt__1,purR__adenine_wt__2,purR__adenine_delpurR__1,purR__adenine_delpurR__2,ec_carbon__propylene_glycol__1,ec_carbon__propylene_glycol__2,ec_carbon__propylene_glycol__3,ec_carbon__glycerol__1,ec_carbon__glycerol__2,ec_carbon__glycerol__3
b0001,11.1129772062124,10.6024299017677,10.388690874215401,10.0605093393718,11.527346310878801,10.5643875792918,11.184235026576099,11.458670985488999,11.5302124568119,12.2797293246235,12.412318200552301,12.272817642215099,10.880414109679698,10.943207184214803,11.1143492502901,12.1196180084368,12.2256631800017,12.222838511117,11.8941622844141,12.3032259543206,12.474029462669899,10.7590560106604,11.013366833892,11.0494281857039,11.878038716254101,11.967356339314199,11.8471567702569,12.0972001079811,11.829502692627099,12.127626298542,11.7750911541506,12.272089377629499,11.917287989598,11.9778642478047,12.512807338655698,12.427967343783902,12.6398400346393,12.7285711808252,12.732965297806599,12.159222165170199,11.7206811376611,12.069434290448301,10.8921798211586,11.0874772620876,8.81945025216691,8.32162358725835,10.534358784757698,11.359354620357802,10.0685248979766,10.5880978179531,12.4063282817449,11.461901615445699,11.5277450607758,11.175302184552601,12.739212796185601,12.6187314933979
b0002,12.9106061496649,13.0038773026971,12.9408689870898,12.683271764406,12.616348871251098,12.3281485511718,12.6377353526718,12.790279318262401,12.719359912609802,13.448098366697,13.4434871021182,13.451604203972002,12.500873615308398,12.3513578169278,12.3478479156505,13.3752809094628,13.387718901801,13.337181126431998,12.774263832198999,12.8604268935237,12.8446855889678,12.5560286553699,12.6464808560934,12.5200522732586,13.0307842391353,12.698108286332099,12.954025098911801,12.9836314222175,12.945163586395099,12.988528456286302,13.0529931712005,13.011948859370301,12.9200227018325,12.9099207962015,12.705635522384801,12.6975271457291,13.5527001428934,13.461300588984198,13.4441053340694,11.473275194783499,11.4867816740622,11.6537501521717,13.1763433307308,13.2094690500212,12.863273364319198,12.976707150908199,13.608768430625,13.841084029656901,13.7123552984532,13.4956385576206,12.004935272137,11.9329905670865,12.094087809402302,12.8761373740059,13.0242651988377,13.0428099709369
b0003,12.607045138101098,12.6840660765676,12.684756737259901,12.2049952055985,12.302270465934699,12.109116721412402,12.399398242281402,12.4516682255741,12.4579849866801,12.959169734684998,12.9509295639523,12.9924718717838,12.2954645407955,12.1316639727401,11.9698463116123,12.985954207386198,12.9840482101599,12.921714798848901,11.714874045764699,11.860551514876098,11.9303717395822,11.705654875355599,11.637147424561999,11.566696878553698,12.5246706364252,12.311595592576001,12.4954061600177,12.3269392933295,12.321023212080199,12.3506813243201,12.5192249438799,12.586254311552501,12.3158823263036,12.1084257468296,12.066116835292801,11.924247125068,13.0595731816118,12.8552994811252,12.8835259629039,10.776301770030502,10.733950973685499,10.9078040859733,12.583952452132499,12.5441481878025,12.1877633231275,12.4148808784976,12.787735865917,13.2428424934625,12.9191912046439,12.6195454016294,11.1442669775683,11.0512935734922,11.164719427199302,12.218197329249803,12.2925920440637,12.381102100162801
b0004,12.258072878349099,12.317767508899697,12.2859425061199,11.8717396186879,11.8509707416321,11.7225240987855,11.9945252174388,12.0334539882081,11.929032713075198,13.0548540922697,12.9714977653246,13.115332389409401,12.319212023496402,12.318001142962899,12.358753221814899,13.099601517373399,13.112178857567198,13.077581613845501,11.949774371314799,11.9729009856585,12.049665160683999,12.118947838399,11.965173484166698,11.905488418413,12.511922349498999,12.2752669289296,12.4151897535842,12.482315011947401,12.462170016312802,12.547780643626599,12.721076226743,12.781058738757501,12.556579511058303,12.297446839466698,12.1401220228886,12.1436881695703,12.9198792445455,12.9284166506266,12.929634898998101,11.065231953884098,10.9526890009991,11.153022237400801,12.6696247440843,12.5328175601616,12.378640774552,12.561691306837899,12.8150545166942,13.2291495685823,12.726550578800198,12.326466724820499,11.4736420460164,11.231677974142801,11.4160443920915,12.340686314234901,12.371412454595099,12.4466919271283
b0005,8.91392088209717,8.80292486768345,8.800814854665699,8.65175085717642,8.357465421787339,8.7404200298082,9.03857098429966,8.86431475135339,8.98094381875969,9.839836555603211,9.6456881221171,9.59732693498594,8.124284293049309,8.34080540008186,8.4268871384982,9.35959328285571,9.65347057761967,9.45759860785024,10.2600691132793,10.3320962987861,10.177495441547698,9.55330500971427,9.64203417866965,9.71013379339861,9.121929078015109,8.762860009493329,9.179335339067618,9.22255186334234,9.23079841698634,9.22417458377311,10.1990681963593,9.98033372191634,9.842714419931369,9.199171159128081,9.260084974462288,9.24905455825045,9.49886414615263,9.3472109063166,9.48811731571978,8.51724837804752,8.577443533424919,8.590139309215362,10.158639283969698,10.0522102360869,10.017701748755501,10.0390181996186,10.5836601690105,10.8821297049472,10.5242948901185,10.1379446883992,8.6721127368002,8.39613773232486,8.425761436742471,9.431109722785859,9.779192310550561,9.55178207827822
b0006,9.828929228455118,9.673976422752698,9.8032319390198,10.049230929779199,10.013577521556,10.1120991616315,10.0484263819715,9.93771688886214,10.115949583999999,9.54934337448431,9.666738146341359,9.66342587141792,9.02118910012847,8.79338441072443,9.13198122967394,9.36071517773297,9.42803304303089,9.30420097442876,9.45925554558493,9.511016286167461,9.80162448127338,9.2243599136068,9.07331454617374,9.462201957847698,9.06734579986661,9.21916461470582,9.245161132407661,9.15655713459682,9.16986501150992,9.02614351867198,9.88578326694028,9.87533239420368,10.027833257876699,9.171429095593341,9.32735162220985,9.0810654492709,9.760065096062961,9.65953412829706,9.676782518229821,9.58851720352053,9.338073020436038,9.4158920803335,9.37675500409931,9.27138243874312,9.13527729484793,8.97571206598648,8.801999414862749,8.38131250183304,8.55172323152914,8.86319485543527,9.25781161126015,9.361419667573688,9.44026786080107,10.182168782591301,10.0681359374995,10.0987078662421
b0007,8.35473061017666,8.40788154543749,8.33183075738237,8.36886560507666,8.59216022183508,8.54670004562044,8.548308063147731,8.49322285958011,8.67145963713364,8.15416473999543,8.49330148157001,8.517998206607091,8.58792123484491,8.55199739850572,8.58554745934019,8.809427001684108,8.60246363759782,8.94598545614337,7.77588409646055,8.06936301756779,8.04580886616904,7.92648576539022,7.98775409889328,7.99945204930042,7.83675124366622,8.28507073492357,8.04130660805471,8.054952306462951,7.99157417628228,8.053219779889751,7.66392088329303,7.67925614390113,8.31250602616526,8.60246720769013,8.567892061175929,8.48069775270379,8.176388663606911,8.225125222231961,8.099724182764549,8.69062053626076,8.75596658174615,8.69579952364728,8.20850648086845,8.09976895249928,9.276511611357911,9.19094029126775,7.869948282740849,7.91297273788656,8.50570721646472,7.7183198281782195,8.560597133850651,7.51926093193598,7.615974905898969,8.47811439494394,7.879477853339269,8.01719615391169
b0008,12.785401264593801,12.718594865252301,12.732705464144301,12.6435327920128,12.5652139062985,12.6235803177433,12.7419022704087,12.755389536017,12.8012075216141,12.8846056055105,12.962429068541901,12.9149439842431,12.711880852951,12.6476093777618,12.6850481126193,12.8925105603526,12.858035462219998,12.9046550074967,12.7551749439712,12.7434728684529,12.881548339037499,12.763969593506,12.747317216567499,12.9128286220385,12.613331048727,12.3862295091049,12.5198302121563,12.6011490899334,12.560190484588,12.6302272078227,12.8567909988741,12.921985186178,12.8926191301158,12.6102974517953,12.628303428884099,12.655943852448699,12.5860998047304,12.7436563942835,12.706321475451501,12.5191921818944,12.434772969302301,12.457368135462401,12.677513503193701,12.6204058945981,12.655082662976598,12.698891897285499,12.6107250477319,12.808503936944401,12.4612195552036,12.4094939695525,12.551477023794199,12.602931417871199,12.670608760901802,13.006741301947502,12.9662262209694,12.889661347425301
b0009,10.2290645335255,10.212026485892,10.2234379858355,10.113212359415,10.1980966820199,9.98737342129777,10.187349534718999,10.3486823612512,10.307312823895,9.900936973550438,9.964760223637619,10.014113514382801,10.709143155441199,10.6154856031744,10.5675404274259,10.2908012846531,10.310979592653199,10.2190345401228,10.2704678117902,10.2334282102928,10.4190363061992,10.1009156691201,9.82317282109492,10.344457663996499,10.210141392344301,10.195129307717401,10.279941642592302,9.54922023001113,9.59089659157421,9.58366009762855,10.4651965148508,10.3882328801851,10.495427316829598,10.022532956306302,10.0731296680222,9.94696351723443,10.5555314276606,10.471772509819301,10.4285799742704,10.2738937770843,10.2104529417254,10.1592884576334,9.09946559459481,8.96285176016527,9.469883748350561,9.60489540932386,9.15972480948992,9.045222858112789,9.30566908056578,8.974431091383188,10.2329001905418,10.0152670643762,10.3484960873995,10.2182868405495,10.1647141088355,10.137613715369
b0010,8.72174780305652,8.71593496203243,8.6068816868806,8.60042485899265,8.51479531468617,8.708582405178209,8.890593786017151,8.989538571057,8.88759776850574,8.4943147388245,8.480733811122821,8.63644776011171,8.30677689615054,8.96381046433185,8.67430669521081,8.4117813762818,8.48016912344067,8.43947273014622,8.3965799703689,8.53828895310205,8.5986652195541,7.685406613270151,8.17372394275564,8.01514493149657,8.19348202771949,8.342961046027611,8.0952047261072,8.50333709584705,8.31693986954216,8.44028210914497,8.574140615934411,8.48518827944622,8.34786779027654,8.67224693223501,8.66941340814494,8.74243306950185,8.41350888864108,8.60361862375501,8.553754573746481,8.83862715734081,8.67996498282526,8.66010130122002,8.01531914996383,7.80228349263312,8.26300501500977,7.88435487938423,7.642646035159019,7.782479827112289,8.2768139533837,8.28988098893895,8.84783619304381,7.715100454896691,7.799396353329691,8.35575542183344,8.411287484736611,8.22540530701688
